controlled_bos_size,deadline_factor,sharing,candidate_count,comparison,metric,paired_seeds,hds_mean,comparator_mean,mean_paired_difference,median_paired_difference,paired_ci95_low,paired_ci95_high,cohen_dz,paired_t_p_value,hds_improvement_pct,conditional_on_both_globally_successful
2,5.0,NonSharable,20,hds_full-pbqs,workflow_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
2,5.0,NonSharable,20,hds_full-pbqs,global_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
2,5.0,NonSharable,20,hds_full-pbqs,first_round_accepted_sfc_ratio,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
2,5.0,NonSharable,20,hds_full-pbqs,provisioning_cost,5,0.016,0.01,0.005999999999999998,0.004999999999999999,0.003223554894802205,0.008776445105197792,2.683281572999747,0.0038825370469605146,-60.0,1
2,5.0,NonSharable,20,hds_full-pbqs,makespan_s,5,3.475167108878587,6.304238611002067,-2.829071502123481,-2.7765754045296704,-4.084882465053061,-1.573260539193901,-2.7972014389302235,0.0033320317737790665,44.87570469154237,1
2,5.0,NonSharable,20,hds_full-pbqs,network_data_mb,5,12.988526386352728,12.988526386352728,0.0,0.0,0.0,0.0,,1.0,0.0,1
2,5.0,NonSharable,20,hds_full-pbqs,scheduler_runtime_s,5,0.00818122519922322,0.00059758780043918,0.0075836373987840395,0.0044275639993429,0.00046388787122728006,0.014703386926340798,1.3225647190334697,0.04166414476598945,-1269.041535521753,0
2,5.0,NonSharable,20,hds_full-pbqs,first_round_scheduler_runtime_s,5,0.00818122519922322,0.00059758780043918,0.0075836373987840395,0.0044275639993429,0.00046388787122728006,0.014703386926340798,1.3225647190334697,0.04166414476598945,-1269.041535521753,0
2,5.0,NonSharable,20,hds_full-pbqs,milp_runtime_s,5,0.00797324339946494,0.0,0.00797324339946494,0.0048722860010457,0.0008842583449461417,0.015062228453983738,1.3965453731237172,0.03543166397189357,,0
2,5.0,Sharable,20,hds_full-pbqs,workflow_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
2,5.0,Sharable,20,hds_full-pbqs,global_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
2,5.0,Sharable,20,hds_full-pbqs,first_round_accepted_sfc_ratio,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
2,5.0,Sharable,20,hds_full-pbqs,provisioning_cost,5,0.012,0.007000000000000001,0.005,0.005,0.004999999999999999,0.005000000000000001,,0.0,-71.42857142857142,1
2,5.0,Sharable,20,hds_full-pbqs,makespan_s,5,4.483085457592103,8.3471854159812,-3.8640999583890965,-3.799920764644522,-6.431407501135,-1.2967924156431923,-1.868850429450583,0.013930933508403007,46.29225021156281,1
2,5.0,Sharable,20,hds_full-pbqs,network_data_mb,5,12.988526386352728,12.988526386352728,0.0,0.0,0.0,0.0,,1.0,0.0,1
2,5.0,Sharable,20,hds_full-pbqs,scheduler_runtime_s,5,0.014425658599793643,0.0007040039999992,0.013721654599794441,0.0129820330002986,0.0061452374629478385,0.021298071736641045,2.2487785723270153,0.007341646946746462,-1949.0875903844349,0
2,5.0,Sharable,20,hds_full-pbqs,first_round_scheduler_runtime_s,5,0.014425658599793643,0.0007040039999992,0.013721654599794441,0.0129820330002986,0.0061452374629478385,0.021298071736641045,2.2487785723270153,0.007341646946746462,-1949.0875903844349,0
2,5.0,Sharable,20,hds_full-pbqs,milp_runtime_s,5,0.014179181399231258,0.0,0.014179181399231258,0.0133917220009607,0.00648965969792768,0.021868703100534837,2.2895805163592007,0.006887769960119083,,0
3,5.0,NonSharable,20,hds_full-pbqs,workflow_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
3,5.0,NonSharable,20,hds_full-pbqs,global_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
3,5.0,NonSharable,20,hds_full-pbqs,first_round_accepted_sfc_ratio,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
3,5.0,NonSharable,20,hds_full-pbqs,provisioning_cost,5,0.02,0.015,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,,0.0,-33.33333333333334,1
3,5.0,NonSharable,20,hds_full-pbqs,makespan_s,5,5.044200752084189,7.278390756812419,-2.234190004728231,-2.2343254573726554,-3.8273653934643486,-0.6410146159921133,-1.7412478962648767,0.017637511744978983,30.696208535342457,1
3,5.0,NonSharable,20,hds_full-pbqs,network_data_mb,5,19.090332588746644,19.090332588746644,0.0,0.0,0.0,0.0,,1.0,0.0,1
3,5.0,NonSharable,20,hds_full-pbqs,scheduler_runtime_s,5,0.008479968200117542,0.0009321209996414201,0.007547847200476121,0.0075322859993321,0.006825539012893731,0.00827015538805851,12.974918869662218,8.401576764095108e-06,-809.749721697046,0
3,5.0,NonSharable,20,hds_full-pbqs,first_round_scheduler_runtime_s,5,0.008479968200117542,0.0009321209996414201,0.007547847200476121,0.0075322859993321,0.006825539012893731,0.00827015538805851,12.974918869662218,8.401576764095108e-06,-809.749721697046,0
3,5.0,NonSharable,20,hds_full-pbqs,milp_runtime_s,5,0.00822419739997708,0.0,0.00822419739997708,0.0081009540008381,0.007374113922691382,0.009074280877262777,12.012572998452224,1.141996760568911e-05,,0
3,5.0,Sharable,20,hds_full-pbqs,workflow_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
3,5.0,Sharable,20,hds_full-pbqs,global_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
3,5.0,Sharable,20,hds_full-pbqs,first_round_accepted_sfc_ratio,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
3,5.0,Sharable,20,hds_full-pbqs,provisioning_cost,5,0.015,0.01,0.004999999999999999,0.004999999999999999,0.004999999999999999,0.004999999999999999,,0.0,-49.99999999999999,1
3,5.0,Sharable,20,hds_full-pbqs,makespan_s,5,6.051550748856122,11.373369812903153,-5.321819064047031,-5.112185076130878,-6.3614532666631005,-4.282184861430962,-6.3559962919206825,0.00014232374292939148,46.791928439796244,1
3,5.0,Sharable,20,hds_full-pbqs,network_data_mb,5,19.090332588746644,19.090332588746644,0.0,0.0,0.0,0.0,,1.0,0.0,1
3,5.0,Sharable,20,hds_full-pbqs,scheduler_runtime_s,5,0.05716901619962293,0.0009624054000595799,0.056206610799563364,0.0569828460029385,0.0360833768017301,0.07632984479739663,3.4681167598798077,0.0014899230975670408,-5840.221885297376,0
3,5.0,Sharable,20,hds_full-pbqs,first_round_scheduler_runtime_s,5,0.05716901619962293,0.0009624054000595799,0.056206610799563364,0.0569828460029385,0.0360833768017301,0.07632984479739663,3.4681167598798077,0.0014899230975670408,-5840.221885297376,0
3,5.0,Sharable,20,hds_full-pbqs,milp_runtime_s,5,0.05686500579977285,0.0,0.05686500579977285,0.0575965110001561,0.03667698545063256,0.07705302614891313,3.497481637035947,0.0014430260054229367,,0
4,5.0,NonSharable,20,hds_full-pbqs,workflow_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
4,5.0,NonSharable,20,hds_full-pbqs,global_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
4,5.0,NonSharable,20,hds_full-pbqs,first_round_accepted_sfc_ratio,5,1.0,0.9,0.1,0.0,-0.07002184516456392,0.27002184516456396,0.7302967433402214,0.17780780835622137,11.111111111111109,0
4,5.0,NonSharable,20,hds_full-pbqs,provisioning_cost,5,0.025,0.020999999999999998,0.004000000000000001,0.0,-0.0028008738065825566,0.010800873806582558,0.7302967433402215,0.17780780835622123,-19.047619047619065,1
4,5.0,NonSharable,20,hds_full-pbqs,makespan_s,5,5.987471249483052,7.949686890431691,-1.9622156409486393,-2.2343254573726554,-3.234740031339525,-0.6896912505577537,-1.9146293277175206,0.012835002921209235,24.682929881306116,1
4,5.0,NonSharable,20,hds_full-pbqs,network_data_mb,5,26.226163744256354,26.226163744256354,0.0,0.0,0.0,0.0,,1.0,0.0,1
4,5.0,NonSharable,20,hds_full-pbqs,scheduler_runtime_s,5,0.009373111800232401,0.0011461403992142998,0.008226971401018102,0.0073666900025273,0.006309735336031828,0.010144207466004376,5.328052392426329,0.0002843215850503654,-717.797872464651,0
4,5.0,NonSharable,20,hds_full-pbqs,first_round_scheduler_runtime_s,5,0.009373111800232401,0.0010361727996496199,0.008336939000582782,0.0073666900025273,0.006400646936382818,0.010273231064782746,5.346134089808197,0.00028058117356987697,-804.5896402030534,0
4,5.0,NonSharable,20,hds_full-pbqs,milp_runtime_s,5,0.00905926839914166,0.0,0.00905926839914166,0.0081475430015416,0.00715674953106,0.010961787267223319,5.9124603755553595,0.00018912651834929832,,0
