controlled_bos_size,deadline_factor,variant,sharing,candidate_count,n,workflow_deadline_success_mean,workflow_deadline_success_ci95_low,workflow_deadline_success_ci95_high,workflow_deadline_success_median,global_deadline_success_mean,global_deadline_success_ci95_low,global_deadline_success_ci95_high,global_deadline_success_median,first_round_accepted_sfc_ratio_mean,first_round_accepted_sfc_ratio_ci95_low,first_round_accepted_sfc_ratio_ci95_high,first_round_accepted_sfc_ratio_median,provisioning_cost_mean,provisioning_cost_ci95_low,provisioning_cost_ci95_high,provisioning_cost_median,makespan_s_mean,makespan_s_ci95_low,makespan_s_ci95_high,makespan_s_median,network_data_mb_mean,network_data_mb_ci95_low,network_data_mb_ci95_high,network_data_mb_median,scheduler_runtime_s_mean,scheduler_runtime_s_ci95_low,scheduler_runtime_s_ci95_high,scheduler_runtime_s_median,first_round_scheduler_runtime_s_mean,first_round_scheduler_runtime_s_ci95_low,first_round_scheduler_runtime_s_ci95_high,first_round_scheduler_runtime_s_median,milp_runtime_s_mean,milp_runtime_s_ci95_low,milp_runtime_s_ci95_high,milp_runtime_s_median,milp_invocations_mean,milp_invocations_max,milp_max_variables_mean,milp_max_variables_max,milp_max_constraints_mean,milp_max_constraints_max,milp_max_single_solve_s_mean,milp_max_single_solve_s_max,milp_limit_reached_count_mean,milp_limit_reached_count_max,jointly_scheduled_sfc_ratio_mean,jointly_scheduled_sfc_ratio_max
2,5.0,hds_full,NonSharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016,0.013223554894802206,0.018776445105197794,0.015,3.475167108878587,2.1774157324308403,4.772918485326334,3.4073844570463656,12.988526386352728,9.152797917623692,16.82425485508176,13.816190699404494,0.00818122519922322,0.0010745040094710346,0.015287946388975404,0.005072513999039,0.00818122519922322,0.0010745040094710346,0.015287946388975404,0.005072513999039,0.00797324339946494,0.0008842583449461417,0.015062228453983738,0.0048722860010457,1.0,1.0,33.0,33.0,144.0,144.0,0.00797324339946494,0.0179644019990519,0.0,0.0,1.0,1.0
2,5.0,hds_full,Sharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.012,0.008599563096708722,0.015400436903291279,0.01,4.483085457592103,1.885801990352617,7.080368924831589,4.327130853244643,12.988526386352728,9.152797917623692,16.82425485508176,13.816190699404494,0.014425658599793643,0.006705040167764976,0.022146277031822308,0.0136240589999943,0.014425658599793643,0.006705040167764976,0.022146277031822308,0.0136240589999943,0.014179181399231258,0.00648965969792768,0.021868703100534837,0.0133917220009607,1.0,1.0,38.0,38.0,149.0,149.0,0.014179181399231258,0.0233943589992122,0.0,0.0,1.0,1.0
2,5.0,pbqs,NonSharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,6.304238611002067,3.7507120385942003,8.857765183409935,6.183959861576036,12.988526386352728,9.152797917623692,16.82425485508176,13.816190699404494,0.00059758780043918,0.0005608077331057553,0.0006343678677726047,0.0005917010021221,0.00059758780043918,0.0005608077331057553,0.0006343678677726047,0.0005917010021221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5.0,pbqs,Sharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007000000000000001,0.003599563096708723,0.01040043690329128,0.005,8.3471854159812,3.1830281806281846,13.511342651334214,8.127051617889165,12.988526386352728,9.152797917623692,16.82425485508176,13.816190699404494,0.0007040039999992,0.0005440750101988315,0.0008639329897995686,0.0006420259996957,0.0007040039999992,0.0005440750101988315,0.0008639329897995686,0.0006420259996957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5.0,hds_full,NonSharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02,0.02,0.02,0.02,5.044200752084189,3.764853324595414,6.323548179572963,4.574926264145652,19.090332588746644,15.502034195022024,22.678630982471265,17.6920416596465,0.008479968200117542,0.0076017898981757745,0.009358146502059309,0.0083357229996181,0.008479968200117542,0.0076017898981757745,0.009358146502059309,0.0083357229996181,0.00822419739997708,0.007374113922691382,0.009074280877262777,0.0081009540008381,1.0,1.0,42.0,42.0,184.0,184.0,0.00822419739997708,0.0092607099977612,0.0,0.0,1.0,1.0
3,5.0,hds_full,Sharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.015,0.015,0.015,0.015,6.051550748856122,4.956445786699486,7.146655711012757,5.472590998844673,19.090332588746644,15.502034195022024,22.678630982471265,17.6920416596465,0.05716901619962293,0.03694215623826497,0.0773958761609809,0.057900754000002,0.05716901619962293,0.03694215623826497,0.0773958761609809,0.057900754000002,0.05686500579977285,0.03667698545063256,0.07705302614891313,0.0575965110001561,1.0,1.0,57.0,57.0,209.0,209.0,0.05686500579977285,0.0775951629984774,0.0,0.0,1.0,1.0
3,5.0,pbqs,NonSharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.015,0.015,0.015,0.015,7.278390756812419,6.125754965163678,8.43102654846116,7.431695014246208,19.090332588746644,15.502034195022024,22.678630982471265,17.6920416596465,0.0009321209996414201,0.0007492505332697107,0.0011149914660131296,0.000856645998283,0.0009321209996414201,0.0007492505332697107,0.0011149914660131296,0.000856645998283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5.0,pbqs,Sharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,11.373369812903153,9.267270058123351,13.479469567682955,10.5286045685557,19.090332588746644,15.502034195022024,22.678630982471265,17.6920416596465,0.0009624054000595799,0.0008217110324400076,0.0011030997676791522,0.0009252080017176,0.0009624054000595799,0.0008217110324400076,0.0011030997676791522,0.0009252080017176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5.0,hds_full,NonSharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.025,0.025,0.025,0.025,5.987471249483052,4.649050373470622,7.325892125495482,6.126661255942999,26.226163744256354,23.430951965541038,29.02137552297167,26.09037385070368,0.009373111800232401,0.007431437467703804,0.011314786132760999,0.0084440640021057,0.009373111800232401,0.007431437467703804,0.011314786132760999,0.0084440640021057,0.00905926839914166,0.00715674953106,0.010961787267223319,0.0081475430015416,1.0,1.0,51.0,51.0,224.0,224.0,0.00905926839914166,0.0108089659988763,0.0,0.0,1.0,1.0
4,5.0,hds_full,Sharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.017,0.013599563096708723,0.02040043690329128,0.015,7.453734667777463,5.638850792914119,9.268618542640809,7.933924760939204,26.226163744256354,23.430951965541038,29.02137552297167,26.09037385070368,0.12528293959985598,0.06902817196757305,0.1815377072321389,0.1246170160011388,0.12528293959985598,0.06902817196757305,0.1815377072321389,0.1246170160011388,0.12488100519985887,0.06867484391217608,0.18108716648754164,0.1242474760001641,1.0,1.0,81.0,81.0,279.0,279.0,0.12488100519985887,0.1827819530008128,0.0,0.0,1.0,1.0
