family,workflow_size,deadline_factor,sharing,deadline_mode,candidate_count,topology,metric,comparison,difference_direction,total_paired_seeds,analyzed_paired_seeds,hds_mean,pbqs_mean,mean_paired_difference,median_paired_difference,paired_ci95_low,paired_ci95_high,cohen_dz,hds_improvement_pct,primary_test,p_value,wilcoxon_p_value,conditional_on_both_globally_successful,holm_adjusted_p_value_global,holm_adjusted_p_value_within_metric
cybershake,100,0.8,NonSharable,reference,20,small,global_deadline_success,HDS-PBQS,positive_favors_HDS,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,exact_mcnemar,1.0,,0,1.0,1.0
cybershake,100,0.8,NonSharable,reference,20,small,sfc_subdeadline_success,HDS-PBQS,positive_favors_HDS,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,exact_mcnemar,1.0,,0,1.0,1.0
cybershake,100,0.8,NonSharable,reference,20,small,accepted_sfc_ratio,HDS-PBQS,positive_favors_HDS,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,paired_t,,,0,,
cybershake,100,0.8,NonSharable,reference,20,small,sfc_deadline_miss_rate,HDS-PBQS,negative_favors_HDS,50,50,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_t,,,0,,
cybershake,100,0.8,NonSharable,reference,20,small,provisioning_cost,HDS-PBQS,negative_favors_HDS,50,0,,,,,,,0.0,,paired_t,,,1,,
cybershake,100,0.8,NonSharable,reference,20,small,makespan_s,HDS-PBQS,negative_favors_HDS,0,0,,,,,,,0.0,,paired_t,,,1,,
cybershake,100,0.8,NonSharable,reference,20,small,network_data_mb,HDS-PBQS,negative_favors_HDS,50,0,,,,,,,0.0,,paired_t,,,1,,
cybershake,100,0.8,NonSharable,reference,20,small,cpu_utilization,HDS-PBQS,positive_favors_HDS,50,0,,,,,,,0.0,,paired_t,,,1,,
cybershake,100,0.8,NonSharable,reference,20,small,ram_utilization,HDS-PBQS,positive_favors_HDS,50,0,,,,,,,0.0,,paired_t,,,1,,
cybershake,100,0.8,NonSharable,reference,20,small,scheduler_runtime_s,HDS-PBQS,negative_favors_HDS,50,50,8.875652005372026e-05,8.911659999284609e-05,-3.6007993912581586e-07,-2.7549867806056266e-07,-3.0743315369577855e-06,2.3541716587061533e-06,-0.03770232151963748,0.4040548440523205,paired_t,0.7908992200300438,0.10589261566596907,0,1.0,1.0
cybershake,100,0.8,Sharable,reference,20,small,global_deadline_success,HDS-PBQS,positive_favors_HDS,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,exact_mcnemar,1.0,,0,1.0,1.0
cybershake,100,0.8,Sharable,reference,20,small,sfc_subdeadline_success,HDS-PBQS,positive_favors_HDS,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,exact_mcnemar,1.0,,0,1.0,1.0
cybershake,100,0.8,Sharable,reference,20,small,accepted_sfc_ratio,HDS-PBQS,positive_favors_HDS,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,paired_t,,,0,,
cybershake,100,0.8,Sharable,reference,20,small,sfc_deadline_miss_rate,HDS-PBQS,negative_favors_HDS,50,50,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_t,,,0,,
cybershake,100,0.8,Sharable,reference,20,small,provisioning_cost,HDS-PBQS,negative_favors_HDS,50,0,,,,,,,0.0,,paired_t,,,1,,
cybershake,100,0.8,Sharable,reference,20,small,makespan_s,HDS-PBQS,negative_favors_HDS,0,0,,,,,,,0.0,,paired_t,,,1,,
