family,workflow_size,deadline_factor,deadline_mode,seed,scheduler,sharing,configuration,minimum_makespan_s,workflow_slack_s,reference_deadline_feasible,deadline_kappa,tastd_mode,enable_vm_reuse,reuse_policy,joint_bos_optimization,adaptive_bos_fallback,reconstruct_earliest_start,workflow_arrival_s,workflow_deadline_s,workflow_deadline_duration_s,deadline_to_minimum_makespan_ratio,requested_candidate_count,initial_effective_candidate_count,first_round_submitted_sfc_count,first_round_admitted_sfc_count,first_round_accepted_sfc_ratio,first_round_scheduler_runtime_s,unfinished_sfc_count,scheduling_round_count,bos_max_size,bos_mean_size,bos_size_histogram,jointly_scheduled_sfc_count,jointly_scheduled_sfc_ratio,single_sfc_fallback_count,reuse_path_count,new_vm_path_count,milp_invocations,milp_max_bos_size,milp_min_effective_candidate_count,milp_max_effective_candidate_count,milp_max_variables,milp_max_constraints,milp_max_single_solve_s,milp_max_gap,milp_limit_reached_count,milp_admission_limit_reached_count,milp_secondary_limit_reached_count,milp_total_admitted_count,milp_avoidable_idle_removed_s,milp_max_avoidable_idle_removed_s,provisioning_cost,end_to_end_delay_s,network_data_mb,network_hop_data_mb,resource_utilization,cpu_utilization,ram_utilization,vm_time_utilization,mean_node_cpu_utilization,max_node_cpu_utilization,mean_node_ram_utilization,max_node_ram_utilization,mean_link_bandwidth_utilization,max_link_bandwidth_utilization,used_link_count,workflow_deadline_success,workflow_completed,global_deadline_success,sfc_subdeadline_success,sfc_deadline_miss_rate,makespan_s,vm_reuse_rate,provisioned_vm_count,scheduler_runtime_s,scheduler_overhead_ratio,milp_runtime_s,communication_delay_s,propagation_delay_s,serialization_delay_s,queueing_delay_s,execution_time_s,measurement_duration_s,completed_sfc_count,total_sfc_count,accepted_sfc_ratio,realized_workflow_slack_s,workflow_deadline_consumption,study,variant,controlled_bos_size,topology,node_count,local_node_count,global_node_count,candidate_count,effective_candidate_count,candidate_node_coverage,solver_time_limit_s,eta,alpha,beta,gamma,omega_u,omega_w,case_wall_runtime_s
controlled_bos,2,5.0,reference,1,HDS,NonSharable,HDS-NonSharable,2.84375630978134,11.37502523912536,1,5.0,downstream_reserved,1,idle_only,1,1,1,0.0,14.2187815489067,14.2187815489067,5.0,20,5,2,2,1.0,0.005072513999039,0,1,2,2.0,"{""2"":1}",2,1.0,0,0,2,1,2,5,5,33,144,0.0048722860010457,0.0,0,0,0,2,1.1102230246251563e-16,1.1102230246251563e-16,0.015,3.4073844570463656,13.19469178920088,20.96730494565957,0.0120908261920977,0.010966760212272,0.0132148921719233,0.0393427092776373,0.206519430115068,0.2467427897844088,0.1263984902069767,0.220713349723349,0.0820098423349509,0.2657381690798424,4,1,1,1,1,0.0,3.4073844570463656,0.0,2,0.005072513999039,0.001488682613595,0.0048722860010457,1.0615753431360702,0.006,1.0555753431360702,0.0,4.721125113316479,3.4073844570463656,2,2,1.0,10.811397091860336,0.2396396938321598,bos_scaling,hds_full,2,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.0054284440011542
controlled_bos,2,5.0,reference,1,HDS,Sharable,HDS-Sharable,2.84375630978134,11.37502523912536,1,5.0,downstream_reserved,1,idle_only,1,1,1,0.0,14.2187815489067,14.2187815489067,5.0,20,5,2,2,1.0,0.0171224779987824,0,1,2,2.0,"{""2"":1}",2,1.0,0,0,2,1,2,5,5,38,149,0.0167897029969026,0.0,0,0,0,2,2.273736754432321e-13,2.273736754432321e-13,0.01,4.327130853244643,13.19469178920088,26.38938357840176,0.013251118410189,0.0129470255400761,0.0135552112803019,0.0625141709820512,0.1795234668769218,0.1795234668769218,0.0469891427138297,0.0469891427138297,0.0670844560073227,0.2092546164365835,4,1,1,1,1,0.0,4.327130853244643,0.0,1,0.0171224779987824,0.0039570049022075,0.0167897029969026,1.0655753431360702,0.01,1.0555753431360702,1.0598027474267904,3.7508502589230743,4.327130853244643,2,2,1.0,9.891650695662058,0.3043250111383391,bos_scaling,hds_full,2,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.0176604500011308
controlled_bos,2,5.0,reference,1,PBQS,NonSharable,PBQS-NonSharable,2.84375630978134,11.37502523912536,1,5.0,downstream_reserved,1,queue_aware,1,1,1,0.0,14.2187815489067,14.2187815489067,5.0,20,5,2,2,1.0,0.0006449499996961,0,1,2,2.0,"{""2"":1}",0,0.0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.01,6.183959861576036,13.19469178920088,13.19469178920088,0.026502236820378,0.0258940510801523,0.0271104225606038,0.0625141709820512,0.2512375726211753,0.3665189673855653,0.1315197211857119,0.1414255810035866,0.0426739244256287,0.0886209597834383,4,1,1,1,1,0.0,6.183959861576036,0.0,2,0.0006449499996961,0.0001042940145364,0.0,1.0575753431360702,0.002,1.0555753431360702,0.0,7.501700517846149,6.183959861576036,2,2,1.0,8.034821687330666,0.4349148933968627,bos_scaling,pbqs,2,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.0009761340006662
controlled_bos,2,5.0,reference,1,PBQS,Sharable,PBQS-Sharable,2.84375630978134,11.37502523912536,1,5.0,downstream_reserved,1,queue_aware,1,1,1,0.0,14.2187815489067,14.2187815489067,5.0,20,5,2,2,1.0,0.0006847990007372,0,1,2,2.0,"{""2"":1}",0,0.0,0,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.005,8.127051617889165,13.19469178920088,13.19469178920088,0.0530044736407561,0.0517881021603047,0.0542208451212076,0.1250283419641024,0.382338672831678,0.382338672831678,0.2001495044101504,0.2001495044101504,0.0649420843355141,0.1114145879144535,2,1,1,1,1,0.0,8.127051617889165,0.5,1,0.0006847990007372,8.42616772889551e-05,0.0,1.0575753431360702,0.002,1.0555753431360702,5.751735618482981,7.501700517846149,8.127051617889165,2,2,1.0,6.091729931017536,0.5715715928214724,bos_scaling,pbqs,2,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.0009492429999227
controlled_bos,2,5.0,reference,2,HDS,NonSharable,HDS-NonSharable,3.913894632621464,15.655578530485856,1,5.0,downstream_reserved,1,idle_only,1,1,1,0.0,19.56947316310732,19.56947316310732,5.0,20,5,2,2,1.0,0.0049940270000661,0,1,2,2.0,"{""2"":1}",2,1.0,0,0,2,1,2,5,5,33,144,0.0047768139993422,0.0,0,0,0,2,0.0,0.0,0.02,4.51886676170328,13.816190699404494,27.632381398808988,0.011256883011192,0.0099851265828497,0.0125286394395344,0.0557514696387762,0.1325791678675576,0.2030675565410124,0.0415877700103246,0.0524415198754767,0.0448425400165785,0.2109718368805964,6,1,1,1,1,0.0,4.51886676170328,0.0,2,0.0049940270000661,0.0011051503094514,0.0047768139993422,1.1172952559523597,0.012,1.1052952559523594,0.0910257504172782,6.690176356653145,4.51886676170328,2,2,1.0,15.05060640140404,0.2309140733651593,bos_scaling,hds_full,2,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.0053475530003197
controlled_bos,2,5.0,reference,2,HDS,Sharable,HDS-Sharable,3.913894632621464,15.655578530485856,1,5.0,downstream_reserved,1,idle_only,1,1,1,0.0,19.56947316310732,19.56947316310732,5.0,20,5,2,2,1.0,0.0236398640008701,0,1,2,2.0,"{""2"":1}",2,1.0,0,0,2,1,2,5,5,38,149,0.0233943589992122,0.0,0,0,0,2,1.1102230246251563e-16,1.1102230246251563e-16,0.01,7.312543794991561,13.816190699404494,27.632381398808988,0.0225137660223841,0.0199702531656995,0.0250572788790688,0.1115029392775524,0.1638575061612132,0.1638575061612132,0.051399238585547,0.051399238585547,0.0415664102545384,0.1303723639902403,4,1,1,1,1,0.0,7.312543794991561,0.0,1,0.0236398640008701,0.0032327825533245,0.0233943589992122,1.1152952559523597,0.01,1.1052952559523594,2.8857027837055598,6.690176356653145,7.312543794991561,2,2,1.0,12.256929368115756,0.3736709585405336,bos_scaling,hds_full,2,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.0240180260007036
controlled_bos,2,5.0,reference,2,PBQS,NonSharable,PBQS-NonSharable,3.913894632621464,15.655578530485856,1,5.0,downstream_reserved,1,queue_aware,1,1,1,0.0,19.56947316310732,19.56947316310732,5.0,20,5,2,2,1.0,0.000600684001256,0,1,2,2.0,"{""2"":1}",0,0.0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.01,8.360986713315654,13.816190699404494,13.816190699404494,0.0450275320447683,0.039940506331399,0.0501145577581377,0.1115029392775524,0.2866205224399415,0.4390081042334693,0.1798157064823183,0.2267447603724444,0.0330491870711884,0.0655280758764922,4,1,1,1,1,0.0,8.360986713315654,0.0,2,0.000600684001256,7.18436737017376e-05,0.0,1.1072952559523594,0.002,1.1052952559523594,0.0,13.380352713306293,8.360986713315654,2,2,1.0,11.208486449791664,0.4272463874540025,bos_scaling,pbqs,2,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.0008288440003525
controlled_bos,2,5.0,reference,2,PBQS,Sharable,PBQS-Sharable,3.913894632621464,15.655578530485856,1,5.0,downstream_reserved,1,queue_aware,1,1,1,0.0,19.56947316310732,19.56947316310732,5.0,20,5,2,2,1.0,0.0009308760018029,0,1,2,2.0,"{""2"":1}",0,0.0,0,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.005,13.961306281337514,13.816190699404494,13.816190699404494,0.0900550640895367,0.0798810126627981,0.1002291155162754,0.2230058785551048,0.3432960113606735,0.3432960113606735,0.2153719290226902,0.2153719290226902,0.0395842349447572,0.0682854170035356,2,1,1,1,1,0.0,13.961306281337514,0.5,1,0.0009308760018029,6.667542299013243e-05,0.0,1.1072952559523594,0.002,1.1052952559523594,7.834645025394516,13.38035271330629,13.961306281337514,2,2,1.0,5.6081668817698045,0.7134226948765074,bos_scaling,pbqs,2,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.0011736870001186
controlled_bos,2,5.0,reference,3,HDS,NonSharable,HDS-NonSharable,1.3787125705121162,5.514850282048465,1,5.0,downstream_reserved,1,idle_only,1,1,1,0.0,6.8935628525605805,6.8935628525605805,5.0,20,5,2,2,1.0,0.0182000329987204,0,1,2,2.0,"{""2"":1}",2,1.0,0,0,2,1,2,5,5,33,144,0.0179644019990519,1.060447341634415e-12,0,0,0,2,2.220446049250313e-16,2.220446049250313e-16,0.015,1.8533365814260716,14.567561474177914,20.172108435489932,0.0055808416930199,0.0048282737732876,0.0063334096127522,0.0202087677975478,0.1804199526320181,0.2527475680516152,0.0857699669916676,0.1262008712990661,0.1088344579674688,0.3440071891287444,6,1,1,1,1,0.0,1.8533365814260716,0.0,2,0.0182000329987204,0.0098201444794858,0.0179644019990519,1.1714049179342332,0.006,1.1654049179342332,0.0670966296994897,2.425052135705739,1.8533365814260716,2,2,1.0,5.040226271134509,0.2688503203735436,bos_scaling,hds_full,2,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.0185253470008319
controlled_bos,2,5.0,reference,3,HDS,Sharable,HDS-Sharable,1.3787125705121162,5.514850282048465,1,5.0,downstream_reserved,1,idle_only,1,1,1,0.0,6.8935628525605805,6.8935628525605805,5.0,20,5,2,2,1.0,0.0091214640015095,0,1,2,2.0,"{""2"":1}",2,1.0,0,0,2,1,2,5,5,38,149,0.0089180209979531,0.0,0,0,0,2,0.0,0.0,0.015,1.8533365814260716,14.567561474177914,20.172108435489932,0.0055808416930199,0.0048282737732876,0.0063334096127522,0.0202087677975478,0.1804199526320181,0.2527475680516152,0.0857699669916676,0.1262008712990661,0.1088344579674688,0.3440071891287444,6,1,1,1,1,0.0,1.8533365814260716,0.0,2,0.0091214640015095,0.0049216446127076,0.0089180209979531,1.1714049179342332,0.006,1.1654049179342332,0.0670966296994897,2.425052135705739,1.8533365814260716,2,2,1.0,5.040226271134509,0.2688503203735436,bos_scaling,hds_full,2,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.0094461570006387
