family,workflow_size,deadline_factor,deadline_mode,seed,scheduler,sharing,configuration,minimum_makespan_s,workflow_slack_s,reference_deadline_feasible,deadline_kappa,tastd_mode,enable_vm_reuse,reuse_policy,joint_bos_optimization,adaptive_bos_fallback,reconstruct_earliest_start,workflow_arrival_s,workflow_deadline_s,workflow_deadline_duration_s,deadline_to_minimum_makespan_ratio,requested_candidate_count,initial_effective_candidate_count,first_round_submitted_sfc_count,first_round_admitted_sfc_count,first_round_accepted_sfc_ratio,first_round_scheduler_runtime_s,unfinished_sfc_count,scheduling_round_count,bos_max_size,bos_mean_size,bos_size_histogram,jointly_scheduled_sfc_count,jointly_scheduled_sfc_ratio,single_sfc_fallback_count,reuse_path_count,new_vm_path_count,milp_invocations,milp_max_bos_size,milp_min_effective_candidate_count,milp_max_effective_candidate_count,milp_max_variables,milp_max_constraints,milp_max_single_solve_s,milp_max_gap,milp_limit_reached_count,milp_admission_limit_reached_count,milp_secondary_limit_reached_count,milp_total_admitted_count,milp_avoidable_idle_removed_s,milp_max_avoidable_idle_removed_s,provisioning_cost,end_to_end_delay_s,network_data_mb,network_hop_data_mb,resource_utilization,cpu_utilization,ram_utilization,vm_time_utilization,mean_node_cpu_utilization,max_node_cpu_utilization,mean_node_ram_utilization,max_node_ram_utilization,mean_link_bandwidth_utilization,max_link_bandwidth_utilization,used_link_count,workflow_deadline_success,workflow_completed,global_deadline_success,sfc_subdeadline_success,sfc_deadline_miss_rate,makespan_s,vm_reuse_rate,provisioned_vm_count,scheduler_runtime_s,scheduler_overhead_ratio,milp_runtime_s,communication_delay_s,propagation_delay_s,serialization_delay_s,queueing_delay_s,execution_time_s,measurement_duration_s,completed_sfc_count,total_sfc_count,accepted_sfc_ratio,realized_workflow_slack_s,workflow_deadline_consumption,study,topology,node_count,local_node_count,global_node_count,candidate_count,effective_candidate_count,candidate_node_coverage,solver_time_limit_s,eta,alpha,beta,gamma,omega_u,omega_w,case_wall_runtime_s
montage,1000,3.0,reference,1,HDS,Sharable,HDS-Sharable,1333.3406374695471,2666.6812749390947,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,4000.0219124086416,4000.0219124086416,3.0,60,60,1,1,1.0,0.05676849900009984,0,401,4,2.4962593516209477,"{""1"":201,""4"":200}",47,0.047,88,865,135,23,3,56,59,543,3719,0.694566820000091,4.849279379450499e-06,0,0,0,47,4.732214620162267e-12,1.1368683772161603e-12,1.0050000000000001,1736.5278089134479,5941.329470405931,9540.052568206143,0.2047511034226593,0.1482399749376385,0.2612622319076801,0.44890735832729,0.03257573315346255,0.17004677584486808,0.01772889733757555,0.09193294885804229,0.0006015172762590887,0.005545041714834563,75,1,1,1,1,0.0,1736.5278089134479,0.865,116,16.807998331994895,0.009679083885510434,5.672744315000273,53.51207605003183,3.9605,49.55157605003183,90.28622574726558,3124.3952139579383,1736.5278089134479,1000,1000,1.0,2263.4941034951935,0.43412957402220465,deployment_scaling,xxlarge,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,18.37004554699979
montage,1000,3.0,reference,1,HDS,NonSharable,HDS-NonSharable,1333.3406374695471,2666.6812749390947,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,4000.0219124086416,4000.0219124086416,3.0,60,60,1,1,1.0,0.08188331900009871,0,401,4,2.4962593516209477,"{""1"":201,""4"":200}",76,0.076,46,878,122,34,3,55,59,366,3424,0.29819482499988226,7.538488520668363e-13,0,0,0,76,7.105427357601002e-15,7.105427357601002e-15,1.045,1668.0235061910007,5916.500160968407,9456.50849781522,0.1919903491292036,0.1385985513723153,0.24538214688609186,0.42277317450381624,0.019279022132805974,0.08751240212204757,0.010446902080792912,0.04710695404647458,0.0003146344290073586,0.004868607797372629,148,1,1,1,1,0.0,1668.0235061910007,0.878,122,12.786895662008192,0.007665896562337773,6.634641681998346,53.293441574531634,3.9405,49.352941574531634,45.663450497896726,3094.699637367935,1668.0235061910007,1000,1000,1.0,2331.998406217641,0.4170035921594711,deployment_scaling,xxlarge,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,14.117819055999917
montage,1000,3.0,reference,1,PBQS,Sharable,PBQS-Sharable,1333.3406374695471,2666.6812749390947,1,3.0,downstream_reserved,1,queue_aware,1,1,1,0.0,4000.0219124086416,4000.0219124086416,3.0,60,60,1,1,1.0,0.11602327999980844,0,401,4,2.4962593516209477,"{""1"":201,""4"":200}",0,0.0,0,906,94,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.71,2628.42650569014,4335.091988295713,4748.2680631364365,0.3110349462196793,0.22982673755149038,0.39224315488786826,0.6188063433623536,0.13957606474798345,0.21097477487555105,0.07999874437679001,0.11590743605244228,0.0013837205265122645,0.002633165166407922,11,1,1,1,1,0.0,2628.42650569014,0.906,94,172.91936116599845,0.06578816671938689,0.0,38.52217619315009,1.8205,36.701676193150085,2340.322403772054,3490.067776563674,2628.42650569014,1000,1000,1.0,1371.5954067185016,0.6571030267450245,deployment_scaling,xxlarge,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,173.44675524800004
montage,1000,3.0,reference,1,PBQS,NonSharable,PBQS-NonSharable,1333.3406374695471,2666.6812749390947,1,3.0,downstream_reserved,1,queue_aware,1,1,1,0.0,4000.0219124086416,4000.0219124086416,3.0,60,60,1,1,1.0,0.11675698800036116,0,401,4,2.4962593516209477,"{""1"":201,""4"":200}",0,0.0,0,844,156,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1.2650000000000001,1841.7945365590908,6179.815616846961,8437.715320238935,0.18110895602664873,0.1338231636375767,0.22839474841572077,0.3728704889491105,0.07967564695439146,0.23689637471940775,0.045666509693251825,0.12317877774694966,0.0008778428215890714,0.004378958724022341,43,1,1,1,1,0.0,1841.7945365590908,0.844,156,162.8134438789998,0.08839935217919255,0.0,54.89596522156007,3.4365,51.459465221560066,55.21628818264379,3490.067776563674,1841.7945365590908,1000,1000,1.0,2158.2273758495508,0.4604461117689331,deployment_scaling,xxlarge,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,163.87769000000026
montage,1000,3.0,reference,2,HDS,Sharable,HDS-Sharable,1297.0801301793351,2594.16026035867,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,3891.240390538005,3891.240390538005,3.0,60,60,1,1,1.0,0.05989807500009192,0,401,4,2.4987531172069826,"{""1"":200,""2"":1,""4"":200}",53,0.053,77,870,130,26,3,56,59,543,3719,0.3550209690001793,2.2667137388836313e-13,0,0,0,53,2.814637412029697e-12,7.958078640513122e-13,0.98,1691.2727240388563,5860.251970278397,9430.194873197112,0.2061164562695627,0.1428594098160331,0.26937350272309235,0.45039019955145304,0.026243185849028926,0.13353439148334714,0.015212524262324343,0.08216459682848154,0.0004403940803038159,0.005773400883670601,104,1,1,1,1,0.0,1691.2727240388563,0.87,114,13.23488351199967,0.007825398780389486,5.505089607001082,52.87891234463651,3.9765,48.90241234463651,99.61414004333326,3080.6689649319387,1691.2727240388563,1000,1000,1.0,2199.967666499149,0.43463588837928874,deployment_scaling,xxlarge,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,14.552575050000087
montage,1000,3.0,reference,2,HDS,NonSharable,HDS-NonSharable,1297.0801301793351,2594.16026035867,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,3891.240390538005,3891.240390538005,3.0,60,60,1,1,1.0,0.058772757000042475,0,401,4,2.4987531172069826,"{""1"":200,""2"":1,""4"":200}",52,0.052,62,886,114,24,3,56,59,366,3424,0.2741493300000002,8.551582050777378e-12,0,0,0,52,1.7763568394002505e-15,8.881784197001252e-16,0.985,1631.2088365745951,5829.169666274702,9392.93585802211,0.20322145835110952,0.1404491451590691,0.26599377154314996,0.4493990978128505,0.02482233395582372,0.10817573947854302,0.014464956230279814,0.06596052461881717,0.00043398829158735957,0.005185372999084201,109,1,1,1,1,0.0,1631.2088365745951,0.886,114,11.8307128140018,0.007252727271172296,4.675437313999737,52.66625391260695,4.0125,48.653753912606945,43.15917114212525,3073.8898290398974,1631.2088365745951,1000,1000,1.0,2260.0315539634103,0.41920022225845144,deployment_scaling,xxlarge,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,13.195180263000111
montage,1000,3.0,reference,2,PBQS,Sharable,PBQS-Sharable,1297.0801301793351,2594.16026035867,1,3.0,downstream_reserved,1,queue_aware,1,1,1,0.0,3891.240390538005,3891.240390538005,3.0,60,60,1,1,1.0,0.11903010499963784,0,400,4,2.5,"{""1"":200,""4"":200}",0,0.0,0,911,89,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.675,2557.3107663204396,4121.729460540994,4570.340268418947,0.3234230548575996,0.2295949416272027,0.4172511680879965,0.6445922269750144,0.13581165793491926,0.2528292157681227,0.082252865834966,0.1456474416618788,0.0013715799793886194,0.0028188191051934895,11,1,1,1,1,0.0,2557.3107663204396,0.911,89,172.2159266209951,0.06734258850706136,0.0,36.774732266737296,1.7805,34.9942322667373,2436.667777571536,3442.122492046577,2557.3107663204396,1000,1000,1.0,1333.9296242175656,0.6571968086420034,deployment_scaling,xxlarge,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,172.76832293400003
montage,1000,3.0,reference,2,PBQS,NonSharable,PBQS-NonSharable,1297.0801301793351,2594.16026035867,1,3.0,downstream_reserved,1,queue_aware,1,1,1,0.0,3891.240390538005,3891.240390538005,3.0,60,60,1,1,1.0,0.11927290499988885,0,400,4,2.5,"{""1"":200,""4"":200}",0,0.0,0,842,158,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1.22,1791.8837734065783,6097.577414553522,8522.036176444004,0.18073641300865856,0.12830305561520144,0.23316977040211567,0.363093089878331,0.07048196889132259,0.24129272163007057,0.042686644277476433,0.1452993290852402,0.0008516260572029585,0.005137261957064756,46,1,1,1,1,0.0,1791.8837734065783,0.842,158,176.17221830800463,0.0983167663676539,0.0,54.37351589883752,3.5725000000000002,50.80101589883752,52.02902751937282,3442.122492046578,1791.8837734065783,1000,1000,1.0,2099.356617131427,0.46049166681239945,deployment_scaling,xxlarge,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,177.3077079800005
montage,1000,3.0,reference,3,HDS,Sharable,HDS-Sharable,1315.5813265258496,2631.1626530516996,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,3946.743979577549,3946.743979577549,3.0,60,60,1,1,1.0,0.05979050600035407,0,402,4,2.4950248756218905,"{""1"":201,""2"":1,""4"":200}",43,0.043,87,870,130,22,3,55,59,543,3719,0.32598138299999846,1.985348150845942e-13,0,0,0,43,1.6631140908884845e-12,4.547473508864641e-13,1.025,1719.8244098094328,5756.105531961023,9302.543711641114,0.2015254033432201,0.14251068649906598,0.2605401201873742,0.44691379894151534,0.03350960478342081,0.1803671991238317,0.01866601134922391,0.0960417058533412,0.0005498232535956481,0.005576703830998437,81,1,1,1,1,0.0,1719.8244098094328,0.87,116,12.810167855997861,0.007448532410013477,4.427091953000854,52.19455022434492,3.9725,48.222050224344926,73.64699817098767,3110.520040632947,1719.8244098094328,1000,1000,1.0,2226.919569768116,0.435757783810826,deployment_scaling,xxlarge,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,14.122643257999698
montage,1000,3.0,reference,3,HDS,NonSharable,HDS-NonSharable,1315.5813265258496,2631.1626530516996,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,3946.743979577549,3946.743979577549,3.0,60,60,1,1,1.0,0.05895926400080498,0,402,4,2.4950248756218905,"{""1"":201,""2"":1,""4"":200}",55,0.055,62,883,117,25,3,55,59,366,3424,0.2688619350001318,2.1276071165240942e-13,0,0,0,55,7.105427357601002e-15,7.105427357601002e-15,1.04,1632.1071734559455,5690.4125934623935,9482.57225366282,0.19148660923145597,0.13381688923912224,0.2491563292237897,0.4308916355490426,0.025287747003821706,0.14399432202118043,0.014247404582664432,0.07070423487075943,0.00043863925534664633,0.006286521547990933,109,1,1,1,1,0.0,1632.1071734559455,0.883,117,12.154916114998741,0.0074473761972757065,4.883319517996824,51.77700671635588,4.0805,47.69650671635588,44.42769605110482,3024.859281554279,1632.1071734559455,1000,1000,1.0,2314.6368061216035,0.4135325680868316,deployment_scaling,xxlarge,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,13.521122199999809
montage,1000,3.0,reference,3,PBQS,Sharable,PBQS-Sharable,1315.5813265258496,2631.1626530516996,1,3.0,downstream_reserved,1,queue_aware,1,1,1,0.0,3946.743979577549,3946.743979577549,3.0,60,60,1,1,1.0,0.11970789899987722,0,401,4,2.4962593516209477,"{""1"":201,""4"":200}",0,0.0,0,906,94,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.71,2691.653354046604,4010.772817427552,4386.433305344029,0.3099294336543152,0.22348842089249762,0.3963704464161328,0.6242384453576731,0.13562447429272972,0.24755985871647948,0.08182307784288095,0.1478050467220035,0.0012585935283431797,0.0027118716106469074,11,1,1,1,1,0.0,2691.653354046604,0.906,94,172.42668863499875,0.0640597677170332,0.0,36.04788850807715,1.7885,34.25938850807715,2594.23876202458,3520.7048318172765,2691.653354046604,1000,1000,1.0,1255.090625530945,0.6819934021498686,deployment_scaling,xxlarge,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,173.03493815099955
