family,workflow_size,deadline_factor,deadline_mode,seed,scheduler,sharing,configuration,minimum_makespan_s,workflow_slack_s,reference_deadline_feasible,deadline_kappa,tastd_mode,enable_vm_reuse,reuse_policy,joint_bos_optimization,adaptive_bos_fallback,reconstruct_earliest_start,workflow_arrival_s,workflow_deadline_s,workflow_deadline_duration_s,deadline_to_minimum_makespan_ratio,requested_candidate_count,initial_effective_candidate_count,first_round_submitted_sfc_count,first_round_admitted_sfc_count,first_round_accepted_sfc_ratio,first_round_scheduler_runtime_s,unfinished_sfc_count,scheduling_round_count,bos_max_size,bos_mean_size,bos_size_histogram,jointly_scheduled_sfc_count,jointly_scheduled_sfc_ratio,single_sfc_fallback_count,reuse_path_count,new_vm_path_count,milp_invocations,milp_max_bos_size,milp_min_effective_candidate_count,milp_max_effective_candidate_count,milp_max_variables,milp_max_constraints,milp_max_single_solve_s,milp_max_gap,milp_limit_reached_count,milp_admission_limit_reached_count,milp_secondary_limit_reached_count,milp_total_admitted_count,milp_avoidable_idle_removed_s,milp_max_avoidable_idle_removed_s,provisioning_cost,end_to_end_delay_s,network_data_mb,network_hop_data_mb,resource_utilization,cpu_utilization,ram_utilization,vm_time_utilization,mean_node_cpu_utilization,max_node_cpu_utilization,mean_node_ram_utilization,max_node_ram_utilization,mean_link_bandwidth_utilization,max_link_bandwidth_utilization,used_link_count,workflow_deadline_success,workflow_completed,global_deadline_success,sfc_subdeadline_success,sfc_deadline_miss_rate,makespan_s,vm_reuse_rate,provisioned_vm_count,scheduler_runtime_s,scheduler_overhead_ratio,milp_runtime_s,communication_delay_s,propagation_delay_s,serialization_delay_s,queueing_delay_s,execution_time_s,measurement_duration_s,completed_sfc_count,total_sfc_count,accepted_sfc_ratio,realized_workflow_slack_s,workflow_deadline_consumption,study,topology,node_count,local_node_count,global_node_count,candidate_count,effective_candidate_count,candidate_node_coverage,solver_time_limit_s,eta,alpha,beta,gamma,omega_u,omega_w,case_wall_runtime_s
montage,1000,3.0,reference,1,HDS,Sharable,HDS-Sharable,1333.3356899994735,2666.6713799989475,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,4000.007069998421,4000.007069998421,3.0,60,60,1,1,1.0,0.05913355500160833,0,402,4,2.4950248756218905,"{""1"":201,""2"":1,""4"":200}",46,0.046,88,866,134,23,3,56,59,543,3719,0.2693326929984323,4.849297359983864e-06,0,0,0,46,2.5153212845907547e-12,4.689582056016661e-13,1.0,1736.6621248457839,5931.495025381521,9532.396199313274,0.20577269543286308,0.14897202587588249,0.2625733649898437,0.4527250797249988,0.03598100851459088,0.17003362418404033,0.019578427073897193,0.0919258386323043,0.0006439291028574375,0.005372449121926035,70,1,1,1,1,0.0,1736.6621248457839,0.866,115,12.869522073982807,0.007410492743443475,4.7584560049836,53.433400489836544,3.9605,49.47290048983654,90.07440398978076,3123.803050102492,1736.6621248457839,1000,1000,1.0,2263.3449451526367,0.4341647638253973,deployment_scaling,xxlarge,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,14.158479968999018
montage,1000,3.0,reference,1,HDS,NonSharable,HDS-NonSharable,1333.3356899994735,2666.6713799989475,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,4000.007069998421,4000.007069998421,3.0,60,60,1,1,1.0,0.05887986699963221,0,402,4,2.4950248756218905,"{""1"":201,""2"":1,""4"":200}",75,0.075,46,879,121,34,3,55,59,366,3424,0.2731235069986724,7.539748060924974e-13,0,0,0,75,7.105427357601002e-15,7.105427357601002e-15,1.04,1668.1578221233367,5906.6657159439965,9448.852128922354,0.19289372307829553,0.13924343982836215,0.2465440063282289,0.4261856024121885,0.01926595084750544,0.0875053558403792,0.01043773427681393,0.047103161111316794,0.0003186673178290114,0.004868215789142467,146,1,1,1,1,0.0,1668.1578221233367,0.879,121,12.580723083006887,0.007541686353748801,6.481110232998617,53.214766014336355,3.9405,49.274266014336355,45.45162874041191,3094.1074735124885,1668.1578221233367,1000,1000,1.0,2331.849247875084,0.417038718415064,deployment_scaling,xxlarge,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,13.885438888999488
montage,1000,3.0,reference,1,PBQS,Sharable,PBQS-Sharable,1333.3356899994735,2666.6713799989475,1,3.0,downstream_reserved,1,queue_aware,1,1,1,0.0,4000.007069998421,4000.007069998421,3.0,60,60,1,1,1.0,0.11818244399910327,0,401,4,2.4962593516209477,"{""1"":201,""4"":200}",0,0.0,0,906,94,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.71,2628.42650569014,4335.091988295713,4747.649629377226,0.3110349462196793,0.2298267375514904,0.39224315488786826,0.6188063433623536,0.13957606474798345,0.2108998557384818,0.07999874437679001,0.11592821918641139,0.0013835494089231956,0.002633165166407922,11,1,1,1,1,0.0,2628.42650569014,0.906,94,163.67159605697452,0.06226980122999469,0.0,38.52217619315009,1.8205,36.701676193150085,2340.2963508435914,3490.067776563674,2628.42650569014,1000,1000,1.0,1371.5805643082808,0.657105464988885,deployment_scaling,xxlarge,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,164.2082471549984
montage,1000,3.0,reference,1,PBQS,NonSharable,PBQS-NonSharable,1333.3356899994735,2666.6713799989475,1,3.0,downstream_reserved,1,queue_aware,1,1,1,0.0,4000.007069998421,4000.007069998421,3.0,60,60,1,1,1.0,0.13271560700013652,0,401,4,2.4962593516209477,"{""1"":201,""4"":200}",0,0.0,0,844,156,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1.2650000000000001,1841.7945365590908,6179.815616846961,8437.096886479723,0.18110895602664873,0.1338231636375767,0.22839474841572077,0.3728704889491105,0.07967564695439146,0.23678945755696237,0.045666509693251825,0.12320843737461787,0.0008777803512964899,0.004353198636883429,43,1,1,1,1,0.0,1841.7945365590908,0.844,156,161.53681739610693,0.08770620945477231,0.0,54.89596522156007,3.4365,51.459465221560066,55.21628818264379,3490.067776563674,1841.7945365590908,1000,1000,1.0,2158.21253343933,0.4604478202984321,deployment_scaling,xxlarge,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,162.59553251099715
montage,1000,3.0,reference,2,HDS,Sharable,HDS-Sharable,1297.0996591380836,2594.199318276167,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,3891.2989774142507,3891.2989774142507,3.0,60,60,1,1,1.0,0.05938352199882502,0,401,4,2.4962593516209477,"{""1"":201,""4"":200}",54,0.054,77,869,131,26,3,56,59,543,3719,0.3648358529972029,2.2667176813391964e-13,0,0,0,54,3.582023566650605e-12,9.094947017729282e-13,0.985,1692.2264679473253,5856.872140087198,9415.895323426077,0.20511495857239626,0.14218964071921603,0.2680402764255765,0.4466324396468345,0.02625731458928902,0.13345913110014154,0.0152189175466705,0.08211828861548448,0.0004312034873898204,0.00574894479795789,106,1,1,1,1,0.0,1692.2264679473253,0.869,115,12.999301097028365,0.007681773889753981,5.458247830014443,52.84787370310693,3.9725,48.87537370310693,99.83265067172718,3081.763833563158,1692.2264679473253,1000,1000,1.0,2199.072509466925,0.43487444109776463,deployment_scaling,xxlarge,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,14.34886102800374
montage,1000,3.0,reference,2,HDS,NonSharable,HDS-NonSharable,1297.0996591380836,2594.199318276167,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,3891.2989774142507,3891.2989774142507,3.0,60,60,1,1,1.0,0.057587458002672065,0,401,4,2.4962593516209477,"{""1"":201,""4"":200}",53,0.053,62,885,115,24,3,56,59,366,3424,0.2809581640030956,8.551487092016219e-12,0,0,0,53,1.7763568394002505e-15,8.881784197001252e-16,0.99,1632.5202158342088,5825.789836083503,9378.636308251074,0.2022450785683676,0.13979860582046022,0.264691551316275,0.4456499561842198,0.023943360052652168,0.10808884351255767,0.013950998381050923,0.06590753950837298,0.00042519505499907003,0.005181207665915028,111,1,1,1,1,0.0,1632.5202158342088,0.885,115,11.906865437944361,0.0072935485407511595,4.739584078983171,52.635215271077364,4.0085,48.626715271077366,43.37768177051917,3074.984697671117,1632.5202158342088,1000,1000,1.0,2258.7787615800416,0.41953091379244534,deployment_scaling,xxlarge,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,13.328744717000518
montage,1000,3.0,reference,2,PBQS,Sharable,PBQS-Sharable,1297.0996591380836,2594.199318276167,1,3.0,downstream_reserved,1,queue_aware,1,1,1,0.0,3891.2989774142507,3891.2989774142507,3.0,60,60,1,1,1.0,0.11925831000553444,0,400,4,2.5,"{""1"":200,""4"":200}",0,0.0,0,911,89,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.675,2557.1638299468505,4121.729460540994,4572.781388262485,0.3234230548575996,0.2295949416272027,0.4172511680879965,0.6445922269750144,0.13581946176519183,0.25284374350688826,0.08225759214060256,0.14565581066297667,0.0013723530604291521,0.002818981076457227,11,1,1,1,1,0.0,2557.1638299468505,0.911,89,163.2029521620716,0.06382186008217694,0.0,36.774732266737296,1.7805,34.9942322667373,2436.667777571536,3442.122492046577,2557.1638299468505,1000,1000,1.0,1334.1351474674002,0.6571491537373655,deployment_scaling,xxlarge,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,163.75468100700527
montage,1000,3.0,reference,2,PBQS,NonSharable,PBQS-NonSharable,1297.0996591380836,2594.199318276167,1,3.0,downstream_reserved,1,queue_aware,1,1,1,0.0,3891.2989774142507,3891.2989774142507,3.0,60,60,1,1,1.0,0.1160331729988684,0,400,4,2.5,"{""1"":200,""4"":200}",0,0.0,0,842,158,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1.22,1791.8354201926845,6097.577414553522,8524.477296287541,0.18073641300865856,0.12830305561520144,0.23316977040211567,0.363093089878331,0.07048387086830053,0.24129923298621886,0.042687796189319394,0.145303250031025,0.000851885970269269,0.005137400587612762,46,1,1,1,1,0.0,1791.8354201926845,0.842,158,166.81020873093803,0.09309460391903635,0.0,54.37351589883752,3.5725000000000002,50.80101589883752,52.02902751937282,3442.122492046578,1791.8354201926845,1000,1000,1.0,2099.463557221566,0.46047230772880643,deployment_scaling,xxlarge,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,167.9115688680031
montage,1000,3.0,reference,3,HDS,Sharable,HDS-Sharable,1315.574099658709,2631.1481993174175,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,3946.7222989761267,3946.7222989761267,3.0,60,60,1,1,1.0,0.05918454600032419,0,401,4,2.4962593516209477,"{""1"":201,""4"":200}",44,0.044,87,869,131,22,3,55,59,543,3719,0.3290744729965809,1.9853474717029485e-13,0,0,0,44,1.5494272531668685e-12,4.547473508864641e-13,1.03,1717.121375179038,5760.139543628128,9311.576326862465,0.20049193973633178,0.14177986246573746,0.25920401700692614,0.44309402288218613,0.031964147118623706,0.178826490298222,0.017805137862434223,0.09533353554757354,0.0005379261772074634,0.00558548249032709,83,1,1,1,1,0.0,1717.121375179038,0.869,117,12.77029793595284,0.007437038592930757,4.470524243013642,52.226822317681766,3.9725,48.25432231768177,73.86794720076546,3110.520040632947,1717.121375179038,1000,1000,1.0,2229.6009237970884,0.4350752966897367,deployment_scaling,xxlarge,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,14.128617523005232
montage,1000,3.0,reference,3,HDS,NonSharable,HDS-NonSharable,1315.574099658709,2631.1481993174175,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,3946.7222989761267,3946.7222989761267,3.0,60,60,1,1,1.0,0.05860687599488301,0,401,4,2.4962593516209477,"{""1"":201,""4"":200}",56,0.056,62,882,118,25,3,55,59,366,3424,0.26582314100232907,2.1301176983833005e-13,0,0,0,56,7.105427357601002e-15,7.105427357601002e-15,1.045,1631.1198258451725,5693.52583302993,9477.509854710614,0.1906600663931396,0.13328103086988946,0.24803910191638975,0.42764215428313024,0.024419260711981975,0.14408148450155728,0.013757345613859518,0.07074703347835713,0.0004307728925423734,0.006290326898114285,111,1,1,1,1,0.0,1631.1198258451725,0.882,118,12.144310909992782,0.007445382440680071,4.921498138013703,51.79791263289618,4.0765,47.721412632896175,44.6486450808826,3027.706452324562,1631.1198258451725,1000,1000,1.0,2315.6024731309544,0.4132846707426878,deployment_scaling,xxlarge,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,13.516936449996138
