family,workflow_size,deadline_factor,deadline_mode,seed,scheduler,sharing,configuration,minimum_makespan_s,workflow_slack_s,reference_deadline_feasible,deadline_kappa,tastd_mode,enable_vm_reuse,reuse_policy,joint_bos_optimization,adaptive_bos_fallback,reconstruct_earliest_start,workflow_arrival_s,workflow_deadline_s,workflow_deadline_duration_s,deadline_to_minimum_makespan_ratio,requested_candidate_count,initial_effective_candidate_count,first_round_submitted_sfc_count,first_round_admitted_sfc_count,first_round_accepted_sfc_ratio,first_round_scheduler_runtime_s,unfinished_sfc_count,scheduling_round_count,bos_max_size,bos_mean_size,bos_size_histogram,jointly_scheduled_sfc_count,jointly_scheduled_sfc_ratio,single_sfc_fallback_count,reuse_path_count,new_vm_path_count,milp_invocations,milp_max_bos_size,milp_min_effective_candidate_count,milp_max_effective_candidate_count,milp_max_variables,milp_max_constraints,milp_max_single_solve_s,milp_max_gap,milp_limit_reached_count,milp_admission_limit_reached_count,milp_secondary_limit_reached_count,milp_total_admitted_count,milp_avoidable_idle_removed_s,milp_max_avoidable_idle_removed_s,provisioning_cost,end_to_end_delay_s,network_data_mb,network_hop_data_mb,resource_utilization,cpu_utilization,ram_utilization,vm_time_utilization,mean_node_cpu_utilization,max_node_cpu_utilization,mean_node_ram_utilization,max_node_ram_utilization,mean_link_bandwidth_utilization,max_link_bandwidth_utilization,used_link_count,workflow_deadline_success,workflow_completed,global_deadline_success,sfc_subdeadline_success,sfc_deadline_miss_rate,makespan_s,vm_reuse_rate,provisioned_vm_count,scheduler_runtime_s,scheduler_overhead_ratio,milp_runtime_s,communication_delay_s,propagation_delay_s,serialization_delay_s,queueing_delay_s,execution_time_s,measurement_duration_s,completed_sfc_count,total_sfc_count,accepted_sfc_ratio,realized_workflow_slack_s,workflow_deadline_consumption,study,topology,node_count,local_node_count,global_node_count,candidate_count,effective_candidate_count,candidate_node_coverage,solver_time_limit_s,eta,alpha,beta,gamma,omega_u,omega_w,case_wall_runtime_s
cybershake,600,3.0,reference,1,HDS,NonSharable,HDS-NonSharable,877.9733058967522,1755.9466117935044,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,2633.9199176902566,2633.9199176902566,3.0,25,25,1,1,1.0,0.003298581999843,0,267,4,2.247191011235955,"{""1"":134,""3"":66,""4"":67}",37,0.0616666666666666,37,526,74,17,3,21,24,156,1009,0.0416308059975563,5.3066593558188e-14,0,0,0,37,0.0,0.0,0.705,1117.3854066606846,3187.3677006554344,5025.345002245085,0.1957485916076666,0.1386494168465817,0.2528477663687515,0.429785395100453,0.0524944089297622,0.1434409845124804,0.0301431134194156,0.0841982782078814,0.0007676842047646,0.006555734975413,48,1,1,1,1,0.0,1117.3854066606846,0.8766666666666667,74,0.8253693870210554,0.0007386613267911,0.3509605299950635,28.510694582491404,2.137,26.373694582491403,27.08815819003607,1908.2471542460112,1117.3854066606846,600,600,1.0,1516.534511029572,0.424229073616082,deployment_scaling,large,25,15,10,25,25,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,1.0376749450006173
cybershake,600,3.0,reference,1,HDS,Sharable,HDS-Sharable,877.9733058967522,1755.9466117935044,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,2633.9199176902566,2633.9199176902566,3.0,25,25,1,1,1.0,0.003191481999238,0,267,4,2.247191011235955,"{""1"":134,""3"":66,""4"":67}",29,0.0483333333333333,55,516,84,14,3,22,24,228,1129,0.1000958700024057,3.962495060215621e-11,0,0,0,29,6.112887973586112e-13,1.7053025658242404e-13,0.635,1142.6429930380557,3214.460347509264,5071.132830500114,0.2052606108318312,0.1457936470270286,0.2647275746366337,0.4457263061800594,0.0571243646734348,0.172444936198744,0.032780799868556,0.1125596550710004,0.0008962102041445,0.0050728851782885,42,1,1,1,1,0.0,1142.6429930380557,0.86,72,0.916051135998714,0.0008016949664769,0.4445808510063216,29.445119899583823,2.12,27.32511989958382,58.99636957564642,1925.5376426978569,1142.6429930380557,600,600,1.0,1491.276924652201,0.4338184260514894,deployment_scaling,large,25,15,10,25,25,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,1.1267568129987922
cybershake,600,3.0,reference,1,PBQS,NonSharable,PBQS-NonSharable,877.9733058967522,1755.9466117935044,1,3.0,downstream_reserved,1,queue_aware,1,1,1,0.0,2633.9199176902566,2633.9199176902566,3.0,25,25,1,1,1.0,0.0066053910013579,0,267,4,2.247191011235955,"{""1"":134,""3"":66,""4"":67}",0,0.0,0,505,95,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.76,1201.4384837130444,3383.0962986451304,4738.017308712719,0.182219272922376,0.1322176317691092,0.2322209140756428,0.3711272474014053,0.090525947140415,0.202102370931092,0.0534493503901344,0.1266983473354427,0.0010209933214425,0.0057571538009127,34,1,1,1,1,0.0,1201.4384837130444,0.8416666666666667,95,4.866416213000775,0.0040504913726095,0.0,31.29088644058408,1.936,29.35488644058408,31.27458268002383,2115.4253101880104,1201.4384837130444,600,600,1.0,1432.4814339772122,0.4561408551732327,deployment_scaling,large,25,15,10,25,25,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,5.0686650380012
cybershake,600,3.0,reference,1,PBQS,Sharable,PBQS-Sharable,877.9733058967522,1755.9466117935044,1,3.0,downstream_reserved,1,queue_aware,1,1,1,0.0,2633.9199176902566,2633.9199176902566,3.0,25,25,1,1,1.0,0.0059876670020457,0,267,4,2.247191011235955,"{""1"":134,""3"":66,""4"":67}",0,0.0,0,543,57,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.455,1669.4983794864777,2270.1498448469406,2512.1244011163385,0.3087008858920252,0.2239922232323733,0.3934095485516772,0.6185454123356753,0.1302922578487574,0.1948187352305905,0.0769286239234596,0.1248040863440695,0.0011060783934829,0.0021998457014733,12,1,1,1,1,0.0,1669.4983794864777,0.905,57,4.979543295008625,0.0029826583578597,0.0,20.59523159769544,1.014,19.58123159769544,1271.133933849428,2115.425310188009,1669.4983794864777,600,600,1.0,964.4215382037788,0.6338455350421202,deployment_scaling,large,25,15,10,25,25,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,5.135171892998187
cybershake,600,3.0,reference,2,HDS,NonSharable,HDS-NonSharable,880.2092749641484,1760.4185499282971,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,2640.627824892445,2640.627824892445,3.0,25,25,1,1,1.0,0.0035432359982223,0,267,4,2.247191011235955,"{""1"":134,""3"":66,""4"":67}",44,0.0733333333333333,28,528,72,20,3,21,24,156,1009,0.0363488100010727,6.872705474479361e-14,0,0,0,44,5.3290705182007506e-15,3.552713678800501e-15,0.62,1083.2419595141316,3162.2734372819664,5084.01377755485,0.1949735503026907,0.1360875110324998,0.2538595895728815,0.4241444115914355,0.0379490719287449,0.1246560519662675,0.0218627602594366,0.07110510711622,0.0005843373643401,0.0058526259495588,67,1,1,1,1,0.0,1083.2419595141316,0.88,72,0.8043644449644489,0.0007425528875609,0.3720452969973848,28.9938997922538,2.214,26.7798997922538,26.63212495819575,1832.3038580750012,1083.2419595141316,600,600,1.0,1557.3858653783138,0.4102213683059455,deployment_scaling,large,25,15,10,25,25,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,1.0162966439966112
cybershake,600,3.0,reference,2,HDS,Sharable,HDS-Sharable,880.2092749641484,1760.4185499282971,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,2640.627824892445,2640.627824892445,3.0,25,25,1,1,1.0,0.0032245020011032,0,267,4,2.247191011235955,"{""1"":134,""3"":66,""4"":67}",45,0.075,40,515,85,21,3,22,24,228,1129,0.1039550470013637,1.7029493969377297e-13,0,0,0,45,2.899902540320909e-12,6.821210263296962e-13,0.585,1102.3640126422288,3181.4605348352425,5046.333898696166,0.2100585583551938,0.1471346392354062,0.2729824774749815,0.4547666865035109,0.0665082631432993,0.1670431226945755,0.0375375526652131,0.0921401159922369,0.0010323792798583,0.0053644852899907,37,1,1,1,1,0.0,1102.3640126422288,0.8583333333333333,67,1.032368045012845,0.0009365037620725,0.6199166760052321,29.103396572680005,2.17,26.933396572680003,75.07798872199086,1828.162079744114,1102.3640126422288,600,600,1.0,1538.2638122502167,0.4174628481342798,deployment_scaling,large,25,15,10,25,25,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,1.2422122660027526
cybershake,600,3.0,reference,2,PBQS,NonSharable,PBQS-NonSharable,880.2092749641484,1760.4185499282971,1,3.0,downstream_reserved,1,queue_aware,1,1,1,0.0,2640.627824892445,2640.627824892445,3.0,25,25,1,1,1.0,0.0059320139989722,0,267,4,2.247191011235955,"{""1"":134,""3"":66,""4"":67}",0,0.0,0,502,98,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.795,1196.3888982144597,3440.217466481412,4702.987227367464,0.1739895987585552,0.1244607292478033,0.223518468269307,0.3523514172876434,0.0641101513193017,0.2180810075899064,0.0389930835270177,0.1354088154553344,0.000661285142544,0.0048213731702438,52,1,1,1,1,0.0,1196.3888982144597,0.8366666666666667,98,4.884990600992751,0.004083112613535,0.0,31.859779329605875,1.967,29.89277932960588,31.999643716400826,2071.826333651344,1196.3888982144597,600,600,1.0,1444.238926677986,0.4530698673006633,deployment_scaling,large,25,15,10,25,25,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,5.082419815000321
cybershake,600,3.0,reference,2,PBQS,Sharable,PBQS-Sharable,880.2092749641484,1760.4185499282971,1,3.0,downstream_reserved,1,queue_aware,1,1,1,0.0,2640.627824892445,2640.627824892445,3.0,25,25,1,1,1.0,0.0060086679986852,0,267,4,2.247191011235955,"{""1"":134,""3"":66,""4"":67}",0,0.0,0,544,56,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.42,1651.6696085818944,2407.59760561198,2637.747505628599,0.3106957120688486,0.2222513022282202,0.3991401219094769,0.6166149802533758,0.1277052326218977,0.2502100045749181,0.077672891109893,0.1476260165343118,0.0013518404881088,0.0030205798670329,10,1,1,1,1,0.0,1651.6696085818944,0.9066666666666666,56,4.859595459995035,0.002942232172067,0.0,21.487739298465726,1.001,20.486739298465725,1277.3850116615904,2071.826333651343,1651.6696085818944,600,600,1.0,988.958216310551,0.6254836796810501,deployment_scaling,large,25,15,10,25,25,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,5.000643436000246
cybershake,600,3.0,reference,3,HDS,NonSharable,HDS-NonSharable,874.0420779426316,1748.084155885263,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,2622.126233827895,2622.126233827895,3.0,25,25,1,1,1.0,0.0030537679995177,0,267,4,2.247191011235955,"{""1"":134,""3"":66,""4"":67}",40,0.0666666666666666,33,527,73,18,3,21,24,156,1009,0.0419080790015868,1.0555682569254576e-13,0,0,0,40,0.0,0.0,0.635,1071.6065400179864,3341.0642005195846,5393.259451676988,0.1844199284299896,0.1284217745300892,0.2404180823298901,0.4102065547199092,0.0493443781550231,0.1314582863326896,0.0286161090348873,0.0791586816569589,0.0009092551134683,0.0052059371699336,45,1,1,1,1,0.0,1071.6065400179864,0.8783333333333333,73,0.7833093470399035,0.000730967307298,0.3430266010036575,29.637805666928596,2.209,27.428805666928596,26.77164546722183,1796.7047096732024,1071.6065400179864,600,600,1.0,1550.5196938099084,0.4086784710031325,deployment_scaling,large,25,15,10,25,25,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.9906882189970928
cybershake,600,3.0,reference,3,HDS,Sharable,HDS-Sharable,874.0420779426316,1748.084155885263,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,2622.126233827895,2622.126233827895,3.0,25,25,1,1,1.0,0.0030541679989255,0,267,4,2.247191011235955,"{""1"":134,""3"":66,""4"":67}",53,0.0883333333333333,40,507,93,24,3,21,24,228,1129,0.0777099530023406,9.317607551052457e-14,0,0,0,53,3.252731417546784e-11,1.5290879673557356e-11,0.63,1137.0498897360633,3332.518210701857,5515.917261372071,0.1928950281181063,0.1343940279503834,0.2513960282858293,0.4332396283590372,0.0460309009648176,0.11715456624619,0.0263608231153756,0.0708419472655232,0.0008960114990715,0.0057825788319563,44,1,1,1,1,0.0,1137.0498897360633,0.845,69,1.1282196810207097,0.0009922341061768,0.6986168359944713,29.60943774838677,2.249,27.360437748386776,97.32856143643812,1793.612061406414,1137.0498897360633,600,600,1.0,1485.0763440918315,0.4336365942520425,deployment_scaling,large,25,15,10,25,25,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,1.3407875209995836
