family,workflow_size,deadline_factor,deadline_mode,seed,scheduler,sharing,configuration,minimum_makespan_s,workflow_slack_s,reference_deadline_feasible,deadline_kappa,tastd_mode,enable_vm_reuse,reuse_policy,joint_bos_optimization,adaptive_bos_fallback,reconstruct_earliest_start,workflow_arrival_s,workflow_deadline_s,workflow_deadline_duration_s,deadline_to_minimum_makespan_ratio,requested_candidate_count,initial_effective_candidate_count,first_round_submitted_sfc_count,first_round_admitted_sfc_count,first_round_accepted_sfc_ratio,first_round_scheduler_runtime_s,unfinished_sfc_count,scheduling_round_count,bos_max_size,bos_mean_size,bos_size_histogram,jointly_scheduled_sfc_count,jointly_scheduled_sfc_ratio,single_sfc_fallback_count,reuse_path_count,new_vm_path_count,milp_invocations,milp_max_bos_size,milp_min_effective_candidate_count,milp_max_effective_candidate_count,milp_max_variables,milp_max_constraints,milp_max_single_solve_s,milp_max_gap,milp_limit_reached_count,milp_admission_limit_reached_count,milp_secondary_limit_reached_count,milp_total_admitted_count,milp_avoidable_idle_removed_s,milp_max_avoidable_idle_removed_s,provisioning_cost,end_to_end_delay_s,network_data_mb,network_hop_data_mb,resource_utilization,cpu_utilization,ram_utilization,vm_time_utilization,mean_node_cpu_utilization,max_node_cpu_utilization,mean_node_ram_utilization,max_node_ram_utilization,mean_link_bandwidth_utilization,max_link_bandwidth_utilization,used_link_count,workflow_deadline_success,workflow_completed,global_deadline_success,sfc_subdeadline_success,sfc_deadline_miss_rate,makespan_s,vm_reuse_rate,provisioned_vm_count,scheduler_runtime_s,scheduler_overhead_ratio,milp_runtime_s,communication_delay_s,propagation_delay_s,serialization_delay_s,queueing_delay_s,execution_time_s,measurement_duration_s,completed_sfc_count,total_sfc_count,accepted_sfc_ratio,realized_workflow_slack_s,workflow_deadline_consumption,study,topology,node_count,local_node_count,global_node_count,candidate_count,effective_candidate_count,candidate_node_coverage,solver_time_limit_s,eta,alpha,beta,gamma,omega_u,omega_w,case_wall_runtime_s
montage,200,3.0,reference,1,HDS,Sharable,HDS-Sharable,272.9981987425032,545.9963974850064,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,818.9945962275095,818.9945962275095,3.0,8,8,1,1,1.0,0.0003018890020030085,0,85,4,2.411764705882353,"{""1"":45,""4"":40}",20,0.1,13,167,33,10,3,4,7,75,295,0.017573929999343818,0.0,0,0,0,20,2.842170943040401e-14,2.842170943040401e-14,0.21,362.62287342435957,1161.1288302013156,1847.8134400390522,0.1898497055124677,0.13461045129597027,0.2450889597289651,0.42533233676089743,0.10661779636522423,0.21199246046563347,0.06052204249447693,0.12320123979086148,0.0025526389803298406,0.009402154485597378,18,1,1,1,1,0.0,362.62287342435957,0.835,25,0.0989084530119726,0.00027275845033698396,0.0733755589935754,12.022638194818322,0.8545,11.168138194818322,27.200017268543387,637.9985051413462,362.62287342435957,200,200,1.0,456.37172280314996,0.4427658925891449,deployment_scaling,small_plus,8,5,3,8,8,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.12193527199997334
montage,200,3.0,reference,1,HDS,NonSharable,HDS-NonSharable,272.9981987425032,545.9963974850064,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,818.9945962275095,818.9945962275095,3.0,8,8,1,1,1.0,0.00023002200032351539,0,88,4,2.3636363636363638,"{""1"":48,""4"":40}",22,0.11,4,174,26,10,3,4,7,54,260,0.006739656997524435,4.548771252152256e-13,0,0,0,22,0.0,0.0,0.265,356.45431214483733,1169.389260562508,1815.2483152813677,0.18807274767044413,0.13547061743169625,0.240674877909192,0.4139157172432887,0.09915760597357721,0.22136227033864597,0.05393696343658475,0.10542582914565145,0.0024216721421088444,0.009708358225624217,19,1,1,1,1,0.0,356.45431214483733,0.87,26,0.07706258200414595,0.00021619203184960567,0.0498219440014509,12.082721637707861,0.8485,11.234221637707861,9.24426155506718,645.7085188995304,356.45431214483733,200,200,1.0,462.5402840826722,0.435234022039649,deployment_scaling,small_plus,8,5,3,8,8,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.10017353600051138
montage,200,3.0,reference,1,PBQS,Sharable,PBQS-Sharable,272.9981987425032,545.9963974850064,1,3.0,downstream_reserved,1,queue_aware,1,1,1,0.0,818.9945962275095,818.9945962275095,3.0,8,8,1,1,1.0,0.00043457699939608574,0,81,4,2.4814814814814814,"{""1"":41,""4"":40}",0,0.0,0,180,20,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.15,530.1212483588032,894.7198047729363,1021.8736886428047,0.2921692876039455,0.21452671342011698,0.36981186178777403,0.5940932019881965,0.1425932894259699,0.20722484511196734,0.08192115878222266,0.11844861510197656,0.0018965655674954753,0.0035004085627950736,10,1,1,1,1,0.0,530.1212483588032,0.9,20,0.0763532949895307,0.00014402987095105517,0.0,9.425365991391287,0.3885,9.036865991391286,436.68539805528013,712.9118423858358,530.1212483588032,200,200,1.0,288.87334786870633,0.6472829623060665,deployment_scaling,small_plus,8,5,3,8,8,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.09562749600081588
montage,200,3.0,reference,1,PBQS,NonSharable,PBQS-NonSharable,272.9981987425032,545.9963974850064,1,3.0,downstream_reserved,1,queue_aware,1,1,1,0.0,818.9945962275095,818.9945962275095,3.0,8,8,1,1,1.0,0.00036109800203121267,0,83,4,2.4457831325301207,"{""1"":43,""4"":40}",0,0.0,0,168,32,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.275,383.57576231992675,1222.7933717594192,1678.0208226157704,0.1826058047524659,0.13407919588757308,0.23113241361735876,0.3713082512426226,0.11261210955843891,0.3575959067877328,0.06469669466968452,0.17021319669049284,0.0016623480545252802,0.0067934587229412915,24,1,1,1,1,0.0,383.57576231992675,0.84,32,0.07239289100107271,0.00018873166167546426,0.0,12.413954527283149,0.7525000000000001,11.66145452728315,16.381045419358852,712.9118423858356,383.57576231992675,200,200,1.0,435.4188339075828,0.4683495643155291,deployment_scaling,small_plus,8,5,3,8,8,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.09436042900051689
montage,200,3.0,reference,2,HDS,Sharable,HDS-Sharable,261.9171200229772,523.8342400459544,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,785.7513600689316,785.7513600689316,3.0,8,8,1,1,1.0,0.00021956699856673367,0,82,4,2.4634146341463414,"{""1"":42,""4"":40}",22,0.11,12,166,34,10,3,4,7,75,295,0.01909226200223202,0.0,0,0,0,22,2.5845992013273644e-13,5.684341886080802e-14,0.20500000000000002,345.69147670119395,1190.98507653748,1817.0938501352746,0.20484699958569175,0.14550301519337472,0.2641909839780088,0.42664403507416804,0.09489561315305316,0.1757616597716592,0.05356155126322542,0.09892484441387289,0.0023973176978510993,0.008957976166385592,20,1,1,1,1,0.0,345.69147670119395,0.83,24,0.14613192900287686,0.00042272355221875836,0.11952504299915745,12.388275713058707,0.8225,11.565775713058708,40.796566767224945,614.367410506802,345.69147670119395,200,200,1.0,440.05988336773765,0.43995021105769067,deployment_scaling,small_plus,8,5,3,8,8,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.16994374500063714
montage,200,3.0,reference,2,HDS,NonSharable,HDS-NonSharable,261.9171200229772,523.8342400459544,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,785.7513600689316,785.7513600689316,3.0,8,8,1,1,1.0,0.0002880489992094226,0,84,4,2.4285714285714284,"{""1"":44,""4"":40}",21,0.105,5,174,26,12,3,4,7,54,260,0.007612757002789294,2.3574585250414946e-13,0,0,0,21,1.509903313490213e-14,1.4210854715202004e-14,0.20500000000000002,337.19491278781703,1204.757681269079,1736.3498077687195,0.2034915004114913,0.14658907111443714,0.26039392970854547,0.4141443083628658,0.09632052254241665,0.15452718441908475,0.0553008403298035,0.08694426258624177,0.0015746277062936096,0.007364411823767219,30,1,1,1,1,0.0,337.19491278781703,0.87,26,0.08445489801306394,0.0002504631440457346,0.05598318799457047,12.462456550911499,0.7865,11.675956550911499,8.580499808100196,646.0651210460705,337.19491278781703,200,200,1.0,448.5564472811146,0.4291369126720136,deployment_scaling,small_plus,8,5,3,8,8,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.1077787209978851
montage,200,3.0,reference,2,PBQS,Sharable,PBQS-Sharable,261.9171200229772,523.8342400459544,1,3.0,downstream_reserved,1,queue_aware,1,1,1,0.0,785.7513600689316,785.7513600689316,3.0,8,8,1,1,1.0,0.00044741700185113586,0,80,4,2.5,"{""1"":40,""4"":40}",0,0.0,0,180,20,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.155,528.618179228284,916.5206687877865,980.080230002061,0.30136128446395105,0.22018240286017027,0.3825401660677318,0.5720131251717528,0.1388491411080096,0.23389802646989685,0.08091698891583049,0.14212853270543493,0.0016988610079751657,0.0023835603343699144,11,1,1,1,1,0.0,528.618179228284,0.9,20,0.07794984800057136,0.00014745964301562296,0.0,9.738560451061158,0.3685,9.370060451061159,544.5261958037876,686.4157502061034,528.618179228284,200,200,1.0,257.1331808406476,0.6727550292523959,deployment_scaling,small_plus,8,5,3,8,8,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.09690523899917025
montage,200,3.0,reference,2,PBQS,NonSharable,PBQS-NonSharable,261.9171200229772,523.8342400459544,1,3.0,downstream_reserved,1,queue_aware,1,1,1,0.0,785.7513600689316,785.7513600689316,3.0,8,8,1,1,1.0,0.0007008140019024722,0,83,4,2.4457831325301207,"{""1"":43,""4"":40}",0,0.0,0,164,36,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.275,347.299605747085,1261.370719694559,1685.692849521452,0.1705889249404336,0.124176315721285,0.21700153415958218,0.3160723615648363,0.10397576528842159,0.18216093905735883,0.061078737012383644,0.11417279881329538,0.0013544708983645073,0.005744614457356138,33,1,1,1,1,0.0,347.299605747085,0.82,36,0.07170215300720884,0.00020645618889479736,0.0,12.87136085831534,0.7425,12.12886085831534,12.18769754996173,682.7163009800464,347.299605747085,200,200,1.0,438.4517543218466,0.441996824181911,deployment_scaling,small_plus,8,5,3,8,8,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.09393575599824544
montage,200,3.0,reference,3,HDS,Sharable,HDS-Sharable,259.04862361733734,518.0972472346746,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,777.145870852012,777.145870852012,3.0,8,8,1,1,1.0,0.0003036620000784751,0,86,4,2.395348837209302,"{""1"":46,""4"":40}",28,0.14,10,162,38,13,3,4,7,75,295,0.021186494999710703,0.0,0,0,0,28,8.828493491819245e-13,2.8421709430404007e-13,0.19,367.29569041471046,1109.4785889051664,1801.7349346645394,0.1976516634388448,0.1446910156959516,0.250612311181738,0.4304510251309946,0.08804989169354369,0.2684292032793114,0.04869144326474407,0.13360341764524103,0.002753770596208282,0.00888137312783159,16,1,1,1,1,0.0,367.29569041471046,0.81,23,0.13800857198657468,0.0003757424211287379,0.11061275099564227,11.483618391973812,0.8385,10.645118391973812,52.538340809963536,594.0224146807725,367.29569041471046,200,200,1.0,409.8501804373015,0.47262129825386767,deployment_scaling,small_plus,8,5,3,8,8,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.16195092199995997
montage,200,3.0,reference,3,HDS,NonSharable,HDS-NonSharable,259.04862361733734,518.0972472346746,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,777.145870852012,777.145870852012,3.0,8,8,1,1,1.0,0.0003008380008395761,0,87,4,2.3793103448275863,"{""1"":47,""4"":40}",19,0.095,7,174,26,9,3,4,7,54,260,0.00648024000111036,0.0,0,0,0,19,4.440892098500626e-16,4.440892098500626e-16,0.215,335.89817981654056,1136.0643433391106,1804.4936696449329,0.18603799211938016,0.13778243181395397,0.23429355242480632,0.3850235797521406,0.10205317072488976,0.261326047670308,0.05509084915301541,0.1301027895988155,0.0022973570438663818,0.010901137185583595,21,1,1,1,1,0.0,335.89817981654056,0.87,26,0.07349773798705428,0.00021880957505395523,0.0441965550162422,11.736304427445365,0.8785000000000001,10.857804427445364,8.91330776496354,600.6367844133393,335.89817981654056,200,200,1.0,441.2476910354714,0.4322202464362112,deployment_scaling,small_plus,8,5,3,8,8,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.09896005900009186
montage,200,3.0,reference,3,PBQS,Sharable,PBQS-Sharable,259.04862361733734,518.0972472346746,1,3.0,downstream_reserved,1,queue_aware,1,1,1,0.0,777.145870852012,777.145870852012,3.0,8,8,1,1,1.0,0.0006343550012388732,0,80,4,2.5,"{""1"":40,""4"":40}",0,0.0,0,180,20,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.17,523.7968796196824,825.242630055937,903.8697983794095,0.2881269906426328,0.21678185017610213,0.35947213110916354,0.5650995888118554,0.14191559131614545,0.22187947543721862,0.08233814786653695,0.12245617646046277,0.0015620642306826062,0.0023742024232235666,11,1,1,1,1,0.0,523.7968796196824,0.9,20,0.08478948699848843,0.00016187474629488486,0.0,8.725730721179977,0.3545,8.371230721179977,511.29783868032274,678.1195065742265,523.7968796196824,200,200,1.0,253.34899123232958,0.6740007240152042,deployment_scaling,small_plus,8,5,3,8,8,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.10624211699905572
