topology,family,seed,configuration,workflow_size,deadline_factor,deadline_mode,scheduler,sharing,minimum_makespan_s,workflow_slack_s,reference_deadline_feasible,deadline_kappa,tastd_mode,enable_vm_reuse,reuse_policy,joint_bos_optimization,adaptive_bos_fallback,reconstruct_earliest_start,workflow_arrival_s,workflow_deadline_s,workflow_deadline_duration_s,deadline_to_minimum_makespan_ratio,requested_candidate_count,initial_effective_candidate_count,first_round_submitted_sfc_count,first_round_admitted_sfc_count,first_round_accepted_sfc_ratio,first_round_scheduler_runtime_s,unfinished_sfc_count,scheduling_round_count,bos_max_size,bos_mean_size,bos_size_histogram,jointly_scheduled_sfc_count,jointly_scheduled_sfc_ratio,single_sfc_fallback_count,reuse_path_count,new_vm_path_count,milp_invocations,milp_max_bos_size,milp_min_effective_candidate_count,milp_max_effective_candidate_count,milp_max_variables,milp_max_constraints,milp_max_single_solve_s,milp_max_gap,milp_limit_reached_count,milp_admission_limit_reached_count,milp_secondary_limit_reached_count,milp_total_admitted_count,milp_avoidable_idle_removed_s,milp_max_avoidable_idle_removed_s,provisioning_cost,end_to_end_delay_s,network_data_mb,network_hop_data_mb,resource_utilization,cpu_utilization,ram_utilization,vm_time_utilization,mean_node_cpu_utilization,max_node_cpu_utilization,mean_node_ram_utilization,max_node_ram_utilization,mean_link_bandwidth_utilization,max_link_bandwidth_utilization,used_link_count,workflow_deadline_success,workflow_completed,global_deadline_success,sfc_subdeadline_success,sfc_deadline_miss_rate,makespan_s,vm_reuse_rate,provisioned_vm_count,scheduler_runtime_s,scheduler_overhead_ratio,milp_runtime_s,communication_delay_s,propagation_delay_s,serialization_delay_s,queueing_delay_s,execution_time_s,measurement_duration_s,completed_sfc_count,total_sfc_count,accepted_sfc_ratio,realized_workflow_slack_s,workflow_deadline_consumption,study,node_count,local_node_count,global_node_count,candidate_count,effective_candidate_count,candidate_node_coverage,solver_time_limit_s,eta,alpha,beta,gamma,omega_u,omega_w,case_wall_runtime_s
xxlarge,cybershake,1,HDS-NonSharable,1000,3.0,reference,HDS,NonSharable,1431.374730667269,2862.7494613345384,1,3.0000000000000004,downstream_reserved,1,idle_only,1,1,1,0.0,4294.124192001807,4294.124192001807,3.0000000000000004,60,60,1,1,1.0,0.0611077369999293,0,445,4,2.247191011235955,"{""1"":223,""3"":111,""4"":111}",42,0.042,78,880,120,19,3,56,59,366,3424,0.2992431229999965,2.8517667144610784e-11,0,0,0,42,0.0,0.0,1.07,1809.308808008756,5397.955229006121,8638.704828884613,0.1949503340221217,0.1401008442630092,0.2497998237812342,0.428782221940136,0.0264244072060229,0.1587166732252193,0.0146302246527405,0.0867146547352635,0.0004886125700961,0.0053435373723783,80,1,1,1,1,0.0,1809.308808008756,0.88,120,11.674636557002032,0.0064525395031103,3.68250187699914,47.9461195396833,3.634,44.3121195396833,44.47517587559194,3087.231997968979,1809.308808008756,1000,1000,1.0,2484.815383993052,0.4213452445969672,deployment_scaling,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,12.959795944000234
xxlarge,cybershake,1,HDS-Sharable,1000,3.0,reference,HDS,Sharable,1431.374730667269,2862.7494613345384,1,3.0000000000000004,downstream_reserved,1,idle_only,1,1,1,0.0,4294.124192001807,4294.124192001807,3.0000000000000004,60,60,1,1,1.0,0.0617382820000784,0,445,4,2.247191011235955,"{""1"":223,""3"":111,""4"":111}",60,0.06,80,860,140,28,3,56,59,543,3719,0.3240409889999682,4.517378234312193e-06,0,0,0,60,4.543920795185841e-12,6.821210263296962e-13,0.985,1886.27226544882,5429.925163736655,8429.907627656763,0.212799437780691,0.1531155003252819,0.2724833752361002,0.4613022229331581,0.0300402904878668,0.1653045562548513,0.0170249411305698,0.0916199460618967,0.0004244975728879,0.0046200761710563,86,1,1,1,1,0.0,1886.27226544882,0.86,114,13.491432170005735,0.0071524309704016,6.170348943002409,48.000900686312505,3.529,44.47190068631251,118.37346485402924,3155.3072048628014,1886.27226544882,1000,1000,1.0,2407.851926552988,0.4392682142175048,deployment_scaling,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,14.66366091000009
xxlarge,cybershake,1,PBQS-NonSharable,1000,3.0,reference,PBQS,NonSharable,1431.374730667269,2862.7494613345384,1,3.0000000000000004,downstream_reserved,1,queue_aware,1,1,1,0.0,4294.124192001807,4294.124192001807,3.0000000000000004,60,60,1,1,1.0,0.1170951889998832,0,445,4,2.247191011235955,"{""1"":223,""3"":111,""4"":111}",0,0.0,0,840,160,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1.265,1999.656210674222,5736.813835606387,7619.308471805584,0.1812891974096684,0.1342024985650541,0.2283758962542827,0.3685796100658139,0.0840026396715253,0.2361190184323479,0.0487204812467495,0.1347166981538417,0.0008064276270135,0.0046716005240272,39,1,1,1,1,0.0,1999.656210674222,0.84,160,157.1519806469978,0.0785894994390115,0.0,50.312803999583416,3.129,47.18380399958342,52.95997141631174,3538.364256631814,1999.656210674222,1000,1000,1.0,2294.467981327585,0.4656726543677431,deployment_scaling,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,158.169219719
xxlarge,cybershake,1,PBQS-Sharable,1000,3.0,reference,PBQS,Sharable,1431.374730667269,2862.7494613345384,1,3.0000000000000004,downstream_reserved,1,queue_aware,1,1,1,0.0,4294.124192001807,4294.124192001807,3.0000000000000004,60,60,1,1,1.0,0.1252632800001265,0,445,4,2.247191011235955,"{""1"":223,""3"":111,""4"":111}",0,0.0,0,904,96,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.72,2791.666355967573,4151.067897820237,4447.816596233282,0.3064042773121158,0.2268211243353027,0.3859874302889288,0.6142993501096895,0.1353839793532359,0.2132319147050037,0.0785210161607043,0.1294488651626523,0.0011048291809458,0.0026569947075738,12,1,1,1,1,0.0,2791.666355967573,0.904,96,157.45738449899682,0.0564026514710147,0.0,35.982419470880764,1.738,34.244419470880764,2136.689007805827,3538.364256631812,2791.666355967573,1000,1000,1.0,1502.457836034234,0.6501130920170645,deployment_scaling,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,158.01862085499988
xxlarge,cybershake,2,HDS-NonSharable,1000,3.0,reference,HDS,NonSharable,1458.3714090214212,2916.742818042842,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,4375.114227064263,4375.114227064263,3.0,60,60,1,1,1.0,0.0658243210000364,0,445,4,2.247191011235955,"{""1"":223,""3"":111,""4"":111}",83,0.083,42,875,125,40,3,55,59,366,3424,0.6855465260000528,6.077390298653174e-12,0,0,0,83,1.7763568394002505e-15,8.881784197001252e-16,1.08,1833.3534091636363,5314.100556426947,8440.903138323705,0.1899696841932496,0.1314036702061331,0.2485356981803662,0.4129287642763743,0.0195781207206516,0.0936112729793611,0.0115245581038284,0.0606174128061173,0.0003120918843326,0.0049611126908034,120,1,1,1,1,0.0,1833.3534091636363,0.875,125,16.430257422001432,0.0089618604573881,8.599752982000155,47.30554575846323,3.659,43.64654575846323,46.140301744403374,3096.965732072808,1833.3534091636363,1000,1000,1.0,2541.7608179006265,0.4190412670422622,deployment_scaling,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,17.88906432099975
xxlarge,cybershake,2,HDS-Sharable,1000,3.0,reference,HDS,Sharable,1458.3714090214212,2916.742818042842,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,4375.114227064263,4375.114227064263,3.0,60,60,1,1,1.0,0.060018662999937,0,445,4,2.247191011235955,"{""1"":223,""3"":111,""4"":111}",55,0.055,80,865,135,25,3,56,59,543,3719,0.350812422999752,2.438977761672977e-14,0,0,0,55,2.0497825659049338e-10,2.0077095541637388e-10,0.97,1815.71708183554,5334.464086703377,8641.829335471715,0.2088023015239157,0.1441422617753649,0.2734623412724665,0.4535480322751046,0.0326443807178743,0.1575315606436665,0.0187451135494984,0.0885088115975307,0.000604688575021,0.0043558805377492,64,1,1,1,1,0.0,1815.71708183554,0.865,111,13.044378445997609,0.0071841470108387,5.475253091000923,47.52045400067468,3.711,43.80945400067468,108.54161384258552,3020.629894952197,1815.71708183554,1000,1000,1.0,2559.3971452287237,0.4150102117571227,deployment_scaling,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,14.371824824999749
xxlarge,cybershake,2,PBQS-NonSharable,1000,3.0,reference,PBQS,NonSharable,1458.3714090214212,2916.742818042842,1,3.0,downstream_reserved,1,queue_aware,1,1,1,0.0,4375.114227064263,4375.114227064263,3.0,60,60,1,1,1.0,0.1210813839998081,0,445,4,2.247191011235955,"{""1"":223,""3"":111,""4"":111}",0,0.0,0,839,161,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1.245,1962.3183082986336,5721.788153823515,7895.594094221547,0.1731663345337861,0.1224259113559641,0.2239067577116081,0.3527551888549821,0.0631223242667307,0.2079142876931888,0.0385184083436861,0.126667210403195,0.0006301268738819,0.0042472016298331,52,1,1,1,1,0.0,1962.3183082986336,0.839,161,161.96200962299736,0.0825360538797711,0.0,50.211046537635774,3.303,46.90804653763578,53.72730054088899,3407.615124339127,1962.3183082986336,1000,1000,1.0,2412.7959187656293,0.4485181886588971,deployment_scaling,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,163.06446623300008
xxlarge,cybershake,2,PBQS-Sharable,1000,3.0,reference,PBQS,Sharable,1458.3714090214212,2916.742818042842,1,3.0,downstream_reserved,1,queue_aware,1,1,1,0.0,4375.114227064263,4375.114227064263,3.0,60,60,1,1,1.0,0.1177566889996342,0,445,4,2.247191011235955,"{""1"":223,""3"":111,""4"":111}",0,0.0,0,909,91,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.71,2692.2942097834184,3868.322244418076,4188.662275410668,0.3122049972981401,0.2207240883571032,0.4036859062391769,0.624105334128045,0.1265209995743989,0.2138354983840116,0.0772054511976614,0.1310944491823777,0.001286747911296,0.0023121365216473,10,1,1,1,1,0.0,2692.2942097834184,0.909,91,163.9314385510056,0.0608891249534697,0.0,33.74731926239227,1.667,32.080319262392266,2085.488831862692,3407.615124339126,2692.2942097834184,1000,1000,1.0,1682.8200172808447,0.615365467061181,deployment_scaling,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,164.5264270990001
xxlarge,cybershake,3,HDS-NonSharable,1000,3.0,reference,HDS,NonSharable,1460.1916171605878,2920.383234321175,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,4380.574851481763,4380.574851481763,3.0,60,60,1,1,1.0,0.0589990230000694,0,445,4,2.247191011235955,"{""1"":223,""3"":111,""4"":111}",47,0.047,71,882,118,21,3,56,59,366,3424,0.2716053109998029,5.713452237259859e-13,0,0,0,47,0.0,0.0,1.055,1778.42406611119,5331.411454222319,8784.669204425283,0.1889741231687406,0.1313019743266957,0.2466462720107855,0.4260303867352552,0.0211151236249267,0.1178546448319724,0.0121320861125117,0.0749471988955006,0.0004036621666382,0.0051685697189131,99,1,1,1,1,0.0,1778.42406611119,0.882,118,11.538729939003588,0.006488176897108,4.034762899999805,47.20130665944523,3.757,43.44430665944523,44.80016646476803,3016.295138085607,1778.42406611119,1000,1000,1.0,2602.150785370573,0.4059796091623966,deployment_scaling,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,12.8485419499998
xxlarge,cybershake,3,HDS-Sharable,1000,3.0,reference,HDS,Sharable,1460.1916171605878,2920.383234321175,1,3.0,downstream_reserved,1,idle_only,1,1,1,0.0,4380.574851481763,4380.574851481763,3.0,60,60,1,1,1.0,0.0605204779999439,0,445,4,2.247191011235955,"{""1"":223,""3"":111,""4"":111}",72,0.072,74,854,146,34,3,56,59,543,3719,0.2950971069999468,1.3730250027235314e-13,0,0,0,72,5.341949105286403e-12,7.958078640513122e-13,0.995,1887.2093920583577,5360.237249764166,8585.364637392026,0.2034626232227547,0.1421323895672496,0.2647928568782599,0.4499141634897988,0.0290068501493633,0.1395465867857422,0.0166847638885708,0.082403332796321,0.0004489525478741,0.0054232965506541,82,1,1,1,1,0.0,1887.2093920583577,0.854,114,14.201367427998775,0.0075250618652917,7.220311597998261,47.30791302378002,3.633,43.674913023780014,117.98178851141796,3077.412878270224,1887.2093920583577,1000,1000,1.0,2493.365459423406,0.4308131822972947,deployment_scaling,60,36,24,60,60,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,15.413934039000196
